[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 0.00000000000000E+000 0.53358525246979E-039 0.00000000000000E+000 -.15128958194788E-037 0.00000000000000E+000 0.00000000000000E+000 0.15128958194788E-037 0.00000000000000E+000 0.00000000000000E+000 0.15662543447258E-037 -.15662543447258E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.37757096506038E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.47003563093486E+000 0.33072155978237E-087 0.53358525246979E-039 0.13148684182444E-105 -.15128958207065E-037 0.00000000000000E+000 0.00000000000000E+000 0.15128958207065E-037 0.00000000000000E+000 0.00000000000000E+000 0.15662543447258E-037 -.15662543447258E-037 0.33072155978237E-087 -.13148684182444E-105 0.43921806008592E-062 0.24314779283401E-049 -.24314779283406E-049 0.12252938630733E-046 -.12252938632004E-046 0.12709518309687E-056 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.37757096499442E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.44007126595679E+000 0.41582942884828E-040 0.33290727889150E-032 0.44609583711802E-033 -.71746051061777E-031 0.68031003924483E-031 0.19794025429622E-032 0.12895487614191E-032 -.60044237220218E-031 -.12027340396265E-031 0.41223580106135E-032 -.20611868573700E-032 0.65980084765407E-032 -.78158766382910E-094 0.63412397986700E-031 0.18814528622953E-049 -.18814528622958E-049 0.90078015440247E-047 -.90078015449590E-047 0.93434580963838E-057 -.44609583291313E-033 0.44609583291313E-033 0.00000000000000E+000 0.00000000000000E+000 0.23153220676608E-025 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.41010691405985E+000 0.44103721774478E-087 0.57484567353215E-039 0.18273145602497E-033 -.14184040893500E-030 0.22488949717624E-031 0.00000000000000E+000 0.11916872776135E-030 -.22489017754109E-031 0.66722706248698E-037 0.18290099432957E-037 -.16976321440111E-037 0.11916871267365E-030 -.94172712934457E-105 -.96679762956024E-031 0.85916199735902E-050 0.00000000000000E+000 0.46006501383685E-047 -.46006501388457E-047 0.47720835737642E-057 -.18273145602497E-033 0.18273145602497E-033 0.00000000000000E+000 0.00000000000000E+000 0.23698828355713E-025 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.38014260536268E+000 0.11268574773343E-041 -.22218647295161E-034 0.11394842075786E-042 -.53991794056020E-032 0.53587651929585E-032 0.54539712137339E-035 0.34960241429848E-034 -.53367744016290E-032 -.33124337894146E-034 0.11374814600064E-034 -.56952391351844E-035 0.18179904045780E-034 -.15842203944282E-095 0.53460392600125E-032 -.27362868750554E-062 0.20933765081383E-073 -.56713949517620E-080 0.75629506400057E-077 -.91283158240211E-077 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.16782888880842E-026 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.35017843958481E+000 0.13285881593974E-040 0.30173707553369E-035 -.31506609380320E-038 -.15612603697033E-031 0.15022712971247E-031 0.17786868018927E-033 0.41202519760039E-033 -.14305047660670E-031 -.10807477475485E-032 0.37045264809408E-033 -.18523573796391E-033 0.59289560063091E-033 -.53427474130098E-094 0.14607682897458E-031 0.53427474129098E-094 0.00000000000000E+000 -.53233708094998E-078 0.88095166964126E-079 0.00000000000000E+000 0.76010210240559E-074 0.76010210240559E-074 -.76010210240559E-074 0.00000000000000E+000 0.49068083792835E-026 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.32021467482019E+000 0.00000000000000E+000 0.55129532763063E-039 -.90031406920750E-037 -.51150410670247E-031 0.90031406920750E-037 0.00000000000000E+000 0.51150410670247E-031 0.00000000000000E+000 0.00000000000000E+000 0.10569395036801E-036 -.10569395036801E-036 0.51150395558999E-031 0.65383550853528E-063 -.51150395558999E-031 0.36877528529283E-050 0.00000000000000E+000 -.15641224269090E-076 0.00000000000000E+000 0.00000000000000E+000 0.21710966327585E-072 0.21710966327585E-072 -.21710966327585E-072 0.00000000000000E+000 0.71598863637656E-026 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.29025172268835E+000 0.00000000000000E+000 0.53567082854055E-039 0.12783434422983E-104 -.82092346389768E-032 0.21856402771766E-032 0.00000000000000E+000 0.60235943618003E-032 -.21856468894587E-032 0.64845995927097E-038 0.15917908516102E-037 -.15790225981680E-037 0.60235792349276E-032 -.12783434422983E-104 -.38379389577511E-032 0.43427760950200E-051 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.15228649508355E-026 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.26028958238485E+000 0.00000000000000E+000 0.53358525246979E-039 0.10967224773526E-104 -.15128958194788E-037 0.00000000000000E+000 0.00000000000000E+000 0.15128958194788E-037 0.00000000000000E+000 0.00000000000000E+000 0.15662543447258E-037 -.15662543447258E-037 0.10967224773526E-104 -.10967224773526E-104 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.37757096506038E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.23032680658169E+000 0.33290985531777E-041 0.24832757355251E-035 0.33664019657503E-042 -.25428537635720E-033 0.10572182093362E-033 0.45309351684420E-034 0.10325420373916E-033 0.77102999357535E-034 -.27531515619847E-033 0.94377634991622E-034 -.47196650432084E-034 0.15103117228140E-033 -.17343194759245E-094 0.47698106602079E-136 0.17343194757970E-094 0.00000000000000E+000 -.41578719226058E-079 0.41578719226058E-079 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.92372386942834E-028 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  11 -.20036612906990E+000 0.40589861025282E-039 -.42781698563100E-034 -.40809544748419E-037 -.30508452517040E-031 -.11442552764201E-031 0.29363660485594E-031 0.12587385646236E-031 0.91487775322819E-032 -.32667952431335E-031 0.35183907013410E-031 -.29585798944115E-031 0.17920841045819E-031 -.32461840740606E-092 0.21810101606850E-060 0.22578394016747E-036 0.35990323632999E-048 0.45391219664929E-062 0.13387488390746E-065 0.19368518234231E-057 0.98510708863599E-073 0.98510708863599E-073 -.98510708863599E-073 0.00000000000000E+000 0.12461516354589E-025 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  12 -.17045876897749E+000 -.29606696334830E-073 0.53358525246979E-039 -.77862586453023E-036 -.11448338460904E-035 0.19083307523080E-035 -.45425500686976E-069 0.15128958312618E-037 0.26024180208712E-068 0.30764253272745E-067 -.33541647979753E-036 -.79428840798029E-036 0.74119235758266E-085 0.00000000000000E+000 0.98434997490476E-060 0.11297048877766E-035 0.11667557950477E-047 0.11620106425947E-045 -.11620106427153E-045 0.16901972468425E-055 0.18776469795195E-071 0.18776469795195E-071 -.18776469795195E-071 0.00000000000000E+000 0.23129133264949E-030 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  13 -.14085572522237E+000 0.14444567970658E-084 0.53358525246979E-039 -.13496032060232E-035 -.11366124280716E-035 0.24710866756958E-035 -.51398480981936E-069 0.15128958398928E-037 0.25763272566603E-068 0.30318109401206E-067 0.24378227980051E-036 -.13652657494732E-035 0.14444567970659E-084 -.93808052505098E-099 0.19183322684581E-059 0.11214834696699E-035 0.27754323360825E-047 0.20414021476810E-045 -.20414021478928E-045 0.25953255664411E-055 0.32545520239867E-071 0.32545520239867E-071 -.32545520239867E-071 0.00000000000000E+000 0.22283864183695E-030 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  14 -.11229841045480E+000 -.76366046141085E-063 0.53358525246979E-039 -.12401401522831E-035 -.78905913116183E-036 0.20140703252501E-035 -.38645036730657E-069 0.15128958194789E-037 0.15692732478727E-068 0.14438428280162E-067 0.48187252276522E-036 -.12558026957323E-035 0.16343639199395E-084 0.00000000000000E+000 0.21705405912420E-059 0.77393017296513E-036 0.19153120719199E-047 -.68744276261306E-074 0.13005229176141E-064 0.22756939732587E-056 0.29905831763182E-071 0.29905831763182E-071 -.29905831763182E-071 0.00000000000000E+000 0.14899947460617E-030 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  15 -.86250517385316E-001 0.34737056985716E-035 -.10772350814946E-027 0.35126294717230E-036 -.10772350590448E-027 0.15643288693114E-035 -.19396063560187E-067 0.10772350434015E-027 0.97178020555581E-068 0.34244881548527E-066 0.22763023198721E-035 -.34893682420172E-035 0.17174618124749E-078 -.17174598627618E-078 0.25896361265628E-059 0.12130659221421E-035 0.30020812963830E-047 0.00000000000000E+000 0.31949156393038E-064 0.55908663057449E-056 0.46963844631925E-091 -.46963844631925E-091 0.00000000000000E+000 0.00000000000000E+000 0.22134348913915E-022 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  16 -.64615791870443E-001 0.32107381287561E-030 -.99649127716638E-023 -.42663224746878E-026 -.99652707566997E-023 -.77106700795474E-024 0.77567467238134E-024 0.99649294472412E-023 -.80962230023579E-028 0.24020698803723E-033 0.77968103345273E-024 -.77994134842800E-024 0.17006086236886E-028 0.71143579550092E-046 0.63955898850007E-028 0.26033803744371E-027 -.23057443495112E-031 0.89984704815820E-036 -.89984704824893E-036 0.25745941424575E-039 0.10288264015026E-061 0.10288264015021E-061 -.10288264015023E-061 0.00000000000000E+000 0.20938389968841E-017 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  17 -.48788979615330E-001 -.31082194913971E-022 -.71202932284194E-019 -.31349355969180E-017 -.36203765737991E-018 -.10806398914117E-014 0.10840652107930E-014 0.71514525501256E-019 -.15269863161819E-023 -.73137032247460E-025 0.10869086651190E-014 -.10871999673570E-014 0.79940699731207E-023 0.25984174328929E-027 -.11076927901276E-025 0.29078987954995E-018 -.13538368698948E-021 0.58781191962066E-026 -.58762814771817E-026 0.32067950659772E-021 0.75595528919960E-053 0.75595418636015E-053 -.75595473777987E-053 0.00000000000000E+000 0.64717330252233E-010 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  18 -.38764391327135E-001 -.77809727850576E-019 -.40964364482887E-016 -.51727105397350E-015 -.37646661319705E-014 -.30685102985993E-012 0.30811503308588E-012 0.29691775314844E-014 -.54736462685109E-019 -.26768915991759E-020 0.30368198965079E-012 -.30857379165819E-012 0.46427814871956E-017 0.54438408396708E-021 -.31090641559511E-020 0.37192778675235E-014 -.28796735997214E-014 0.15784492076540E-018 -.15770230439076E-018 0.20238073254528E-014 0.11347185856321E-050 0.11207607576146E-050 -.11277396716233E-050 0.00000000000000E+000 0.19671307911184E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  19 -.33213281113176E-001 -.31013263723282E-017 -.15922247667750E-014 -.14256518518058E-013 -.37884519681173E-012 -.44081026221817E-011 0.44691404912120E-011 0.32226198648688E-012 -.58532911293199E-017 -.28896311279810E-018 0.24018316865466E-011 -.44694917809168E-011 0.14902546323814E-014 0.22187638702966E-018 -.62480765107763E-018 0.37686042948502E-012 -.31196543292511E-012 0.25389625535555E-016 -.25107999960751E-016 0.10006404125561E-011 0.12255055247421E-049 0.81922694942340E-050 -.10223662370828E-049 0.00000000000000E+000 0.69786698297240E-006 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  20 -.30384886826324E-001 -.17491684378220E-016 -.12569817725594E-013 -.11815760717801E-012 -.31521405962888E-011 -.15100441151588E-010 0.15881265715161E-010 0.23851728701021E-011 -.62366701744354E-016 -.32705975637899E-017 -.16630007959824E-010 -.15830929835072E-010 0.20766293005738E-013 0.32421489382917E-017 -.79085807983391E-017 0.31412388667493E-011 -.22907352394940E-011 0.25454107582916E-015 -.24658723336096E-015 0.15794861135340E-010 0.59267713887749E-049 -.45482245104206E-050 -.27359744688664E-049 0.00000000000000E+000 0.74049932067358E-005 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  21 -.28910628014533E-001 -.41410078852386E-016 -.39271565512047E-013 -.35023815524717E-012 -.87369838142040E-011 -.27028792658199E-010 0.29941482117429E-010 0.58506831693097E-011 -.21218547925593E-015 -.11435855064070E-016 -.91965909000364E-010 -.29726036798029E-010 0.74208032031776E-013 0.11053213938983E-016 -.29379872922288E-016 0.87162582570393E-011 -.55803090298198E-011 0.79053627392970E-015 -.75064197439504E-015 0.59240975349268E-010 0.19105577954475E-048 -.10347770994192E-048 -.43789034801412E-049 0.00000000000000E+000 0.25638141146038E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  22 -.28021196332638E-001 -.68890604421527E-016 -.76652612602278E-013 -.65844350447366E-012 -.15627305015460E-010 -.37334086720703E-010 0.43587883109719E-010 0.94135464231517E-011 -.42338860409815E-015 -.23321381419235E-016 -.21571701372298E-009 -.43111207047506E-010 0.15404761616197E-012 0.20994638043480E-016 -.62557727940701E-016 0.15603963924916E-010 -.89258266725512E-011 0.15296551661966E-014 -.14287616380824E-014 0.12599816119399E-009 0.45833942998601E-048 -.34387536627884E-048 -.57232031853587E-049 0.00000000000000E+000 0.52985376242136E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  23 -.27376602729187E-001 -.99236299968509E-016 -.12201855690369E-012 -.10252170169546E-011 -.23418628666068E-010 -.46413009430965E-010 0.57094823924863E-010 0.12791745560887E-010 -.67170609866719E-015 -.37721248900349E-016 -.38150279488318E-009 -.56272392772646E-010 0.25657705805838E-012 0.31020134554330E-016 -.10492047440168E-015 0.23402233097172E-010 -.12061598541606E-010 0.24427253841579E-014 -.22493367240665E-014 0.21308918629629E-009 0.94564091215376E-048 -.80779076496708E-048 -.68925073593339E-049 0.00000000000000E+000 0.88272304956184E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  24 -.26847351659259E-001 -.13367599336701E-015 -.17717083281456E-012 -.14596297058764E-011 -.32291883708922E-010 -.54837313446811E-010 0.71204178558099E-010 0.15996841132433E-010 -.95808695881082E-015 -.54801166352921E-016 -.59471687805579E-009 -.69939291795642E-010 0.38521488609200E-012 0.39677445675259E-016 -.15749263949646E-015 0.32292826604639E-010 -.14995113605416E-010 0.35669656970535E-014 -.32415318660398E-014 0.32348686090089E-009 0.18215439910680E-047 -.16618209159686E-047 -.79861537549725E-049 0.00000000000000E+000 0.13271376548195E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  25 -.26384610365599E-001 -.17329895517654E-015 -.24499447510723E-012 -.19718837238515E-011 -.42420574610838E-010 -.62820782189075E-010 0.86350739758985E-010 0.18981931895141E-010 -.12870444018890E-014 -.75000409864051E-016 -.86293854796061E-009 -.84530457820812E-010 0.54435143199831E-012 0.44896187636524E-016 -.22215289087351E-015 0.42449991517779E-010 -.17674999003926E-010 0.49483936174929E-014 -.44406087723242E-014 0.46107509278370E-009 0.33897237612535E-047 -.32087983586207E-047 -.90462701316381E-049 0.00000000000000E+000 0.18785754227906E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  26 -.25966987116465E-001 -.21895713009245E-015 -.32889847514918E-012 -.25694795509479E-011 -.53910468607870E-010 -.70396670727769E-010 0.10277439706622E-009 0.21646616162814E-010 -.16607447916235E-014 -.98640396801903E-016 -.11932203578046E-008 -.10027076395126E-009 0.73792444660730E-012 0.43729396715066E-016 -.30065089167059E-015 0.53979710748649E-010 -.19997963900551E-010 0.66321069132038E-014 -.58795766980020E-014 0.62938598085371E-009 0.61832303261475E-047 -.59814545260165E-047 -.10088790006553E-048 0.00000000000000E+000 0.25509733269620E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  27 -.25582969512849E-001 -.27143815253317E-015 -.43326952725161E-012 -.32584486375548E-011 -.66835626867192E-010 -.77537095316256E-010 0.12064398524327E-009 0.23868663133016E-010 -.20795031881425E-014 -.12595715183844E-015 -.15921941640395E-008 -.11731493547523E-009 0.96958037317374E-012 0.32302649327641E-016 -.39458713249587E-015 0.66955208661719E-010 -.21838972874167E-010 0.86652404347343E-014 -.75921109353107E-014 0.83171185241992E-009 0.11138260154158E-046 -.10915855178125E-046 -.11120248801638E-048 0.00000000000000E+000 0.33572753460380E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
