[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.22659191879081E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.34081758152042E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.73932632305714E+000 0.00000000000000E+000 0.30000000000000E+003 0.87983691030085E-001 -.15649619001421E+003 0.10000000000000E+001 0.21217451705951E+003 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.37757096506038E-032 0.33900792030277E-036
   2 -.46259869599359E+000 0.24315704352788E-011 0.15858674602776E-041 0.44745334713348E-028 0.22659191877698E+000 0.26335346013876E-031 0.55835067831751E-028 0.28408290619885E-031 0.48642490403260E-049 -.63522327398498E-046 0.26836150382310E-030 0.34081758149846E-001 0.20699615169514E-029 0.12443506361170E-029 0.10504203981036E-048 0.61695917523387E-032 0.72288877430246E-038 0.31697376177732E-032 0.22557802198062E-042 0.19559535008811E-032 0.26199129939424E-031 0.23795951251315E-031 0.73932632307074E+000 0.57687084068762E-031 0.29999999999198E+003 0.79049720541016E-001 -.15649619001237E+003 0.10000000000000E+001 0.21217451705951E+003 0.10000000000000E+006 0.11262223852615E-002 0.28091833463339E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999999198E+003 0.10750592518196E-026 0.33900792030277E-036
   3 -.42522487777458E+000 0.70891802083747E-010 0.35302895208328E-037 0.10828819886731E-023 0.22659191848406E+000 0.66631390525068E-027 0.48266634811648E-025 0.23922464936024E-028 0.10111982017109E-045 0.62442780796280E-049 0.73547654069993E-026 0.34081758102499E-001 0.17514489598903E-026 0.35586649436883E-027 0.28630135557860E-045 0.51162228546854E-029 0.13269227390341E-034 0.23207370585724E-029 0.43306513000841E-039 0.13460395044809E-029 -.44685948098647E-031 0.71460171562772E-031 0.73932632334255E+000 0.57697897064825E-031 0.29999999981820E+003 0.70130182570446E-001 -.15649618997328E+003 0.10000000000000E+001 0.21217451706551E+003 0.10000000000000E+006 0.11262223849155E-002 0.28091833438436E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999981820E+003 0.24705351666902E-022 0.00000000000000E+000
   4 -.38794437035577E+000 0.13980847941367E-008 0.64367684389703E-033 0.37340594530094E-020 0.22659191418322E+000 0.27989061774960E-023 0.16493971497486E-017 0.49989040304898E-025 -.11626552326512E-042 -.25841312915292E-039 0.33658384415449E-022 0.34081757397676E-001 0.22787219289424E-023 0.83612493969822E-025 0.21059011776336E-042 0.53031172983647E-026 0.96195538706778E-032 0.96233911728876E-027 0.32967468830629E-036 0.51609300024603E-027 -.38906630348385E-030 -.14605269658839E-029 0.73932632702102E+000 0.11493409105179E-030 0.29999999721742E+003 0.61257479527672E-001 -.15649618939825E+003 0.10000000000000E+001 0.21217451725306E+003 0.10000000000000E+006 0.11262223753382E-002 0.28091832956011E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999721742E+003 0.10835578349316E-018 0.00000000000000E+000
   5 -.35096254832704E+000 0.19034345015193E-007 0.69988338718377E-029 0.28732762382426E-017 0.22659187107904E+000 0.56046591959293E-020 0.18083576690335E-012 0.57381246240106E-017 -.22276894698077E-033 -.29075970352669E-034 0.89219374709215E-018 0.34081750259814E-001 0.40476110506508E-015 -.80943715311748E-021 -.15452246122565E-032 0.87718036002423E-022 -.30822866736566E-029 -.20300462009676E-022 0.13054154800787E-033 -.27805172103426E-024 -.19181637518476E-027 0.92324751522433E-021 0.73932635962662E+000 0.36876707332871E-029 0.29999997063334E+003 0.52522944918046E-001 -.15649618373281E+003 0.10000000000000E+001 0.21217452070145E+003 0.10000000000000E+006 0.11262222182275E-002 0.28091826547814E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999997063334E+003 0.24400182186305E-015 0.33900855353943E-036
   6 -.31483846750186E+000 0.17633540355964E-006 0.45840075032574E-025 0.61256822294681E-015 0.22659160054716E+000 0.84860252537865E-017 0.70425995863841E-009 0.16632775705982E-012 0.28229745638553E-029 0.13149272431008E-030 0.58218483367690E-014 0.34081700449604E-001 0.12223049586468E-010 0.98834246844451E-014 -.27382238365090E-028 0.21126072389677E-015 0.64165127550733E-021 0.24432409880048E-015 0.13793553301153E-026 0.55129332663312E-017 -.83286391660421E-025 0.33197455490587E-016 0.73932652195117E+000 0.55476221919672E-029 0.29999978206032E+003 0.44176226010282E-001 -.15649615606753E+003 0.10000000000000E+001 0.21217455951015E+003 0.10000000000000E+006 0.11262206386369E-002 0.28091769489587E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999978206032E+003 0.39684112676628E-012 0.00000000000000E+000
   7 -.28110248215127E+000 0.10643191245982E-005 0.13613370957215E-021 0.38622118910060E-013 0.22659125510596E+000 0.53149720002382E-014 0.27110790376432E-006 0.17492944175495E-009 0.83967882242137E-024 0.42627687668035E-025 0.30174955854745E-011 0.34080965556027E-001 0.13093560346616E-007 0.64183380101214E-009 0.21616362021502E-023 0.16732820678061E-010 0.28637563001607E-015 0.10049558219819E-010 0.47519235720485E-020 0.32773285004964E-011 -.87121784481731E-023 0.38418107227012E-013 0.73932642996750E+000 -.49499463373801E-027 0.30000059724235E+003 0.36931037059653E-001 -.15649554807254E+003 0.10000000000000E+001 0.21217498814022E+003 0.10000000000000E+006 0.11262050471795E-002 0.28091456917680E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000059724235E+003 0.26356935488445E-009 0.13562497402669E-035
   8 -.25419722992427E+000 0.37075480549918E-005 0.88174604019740E-019 0.62768562498448E-012 0.22659788042864E+000 0.84659751130363E-012 0.12462840078842E-004 0.13380204671487E-007 0.69783971228133E-020 0.36194666418341E-021 0.16094360757635E-009 0.34065643431172E-001 0.10105024915276E-005 0.23252858949293E-006 0.75271430165770E-019 0.64062576815202E-008 0.60808183448932E-012 0.31936790932493E-008 0.22924878916607E-016 0.19401220794833E-008 -.19280751640328E-021 0.30763368170190E-011 0.73931903763461E+000 -.74852098039970E-025 0.30012348181770E+003 0.31784546738477E-001 -.15646471998231E+003 0.10000000000000E+001 0.21219093278221E+003 0.10000000000000E+006 0.11257117440164E-002 0.28090653853266E+002 0.10000000000000E+001 0.10000000000000E+001 0.30012348181770E+003 0.75697024880688E-007 0.00000000000000E+000
   9 -.23801142614917E+000 0.72761123751501E-005 0.79516127130202E-017 0.27984172622418E-011 0.22661129288578E+000 0.22979508649467E-010 0.93199033510644E-004 0.12763057342302E-006 0.14819329281245E-017 0.77439936218610E-019 0.12698749313117E-008 0.33986958469841E-001 0.96816470483629E-005 0.43474959645824E-005 0.36419740475338E-016 0.12234959959871E-006 0.37361637607044E-010 0.56669320042571E-007 0.34753077151748E-014 0.43843339757664E-007 -.10027421082585E-020 0.29983880207098E-010 0.73928689249965E+000 -.66119936848696E-024 0.30106281841994E+003 0.28837142983934E-001 -.15626613510513E+003 0.10000000000000E+001 0.21231397763701E+003 0.10000000000000E+006 0.11221668986519E-002 0.28089839127169E+002 0.10000000000000E+001 0.10000000000000E+001 0.30106281841994E+003 0.35913817326348E-005 0.00000000000000E+000
  10 -.22945529915084E+000 0.10148562037044E-004 0.10045998914259E-015 0.59197751203435E-011 0.22659794494512E+000 0.12585291972303E-009 0.24845386465249E-003 0.38303069247312E-006 0.21664634533306E-016 0.11415876743909E-017 0.34236127105408E-008 0.33855792419635E-001 0.29126576491897E-004 0.18004514364029E-004 0.82202154118130E-015 0.51135278854660E-006 0.28877693753459E-009 0.22897963476618E-006 0.55214764309157E-013 0.19853996670834E-006 -.22430483210560E-020 0.90950304579220E-010 0.73923920327944E+000 -.19074145584935E-023 0.30299211909880E+003 0.27233351742516E-001 -.15591108797371E+003 0.10000000000000E+001 0.21257790410304E+003 0.10000000000000E+006 0.11149969497948E-002 0.28089220477351E+002 0.10000000000000E+001 0.10000000000000E+001 0.30299211909880E+003 0.26996060471201E-004 0.36590316885038E-027
  11 -.22447867695856E+000 0.12225079702381E-004 0.42012058340598E-015 0.91112050843757E-011 0.22655382249525E+000 0.30816236955076E-009 0.42625066822385E-003 0.70172567342289E-006 0.90312403622338E-016 0.48029599891386E-017 0.58932355345285E-008 0.33718938731063E-001 0.53444288696084E-004 0.39388333462768E-004 0.43980113213109E-014 0.11237498576334E-005 0.88639809656674E-009 0.49423098888824E-006 0.25352177203263E-012 0.45636983960518E-006 -.34979548211768E-020 0.16763643078566E-009 0.73919314706244E+000 -.34566847902254E-023 0.30528645306559E+003 0.26234266901670E-001 -.15553646869197E+003 0.10000000000000E+001 0.21290379187921E+003 0.10000000000000E+006 0.11065941024364E-002 0.28088630142280E+002 0.10000000000000E+001 0.10000000000000E+001 0.30528645306559E+003 0.83246018012624E-004 0.15827167195478E-027
  12 -.22097403445790E+000 0.13894474488212E-004 0.11140479412029E-014 0.12371867165607E-010 0.22648638629500E+000 0.55206418700219E-009 0.61407418218136E-003 0.10571091975597E-005 0.23131126991148E-015 0.12421715860422E-016 0.85240382839694E-008 0.33583540271307E-001 0.80607550984563E-004 0.66885150779456E-004 0.13367591126048E-013 0.19134474924990E-005 0.18860510229544E-008 0.83171337953805E-006 0.69353325768541E-012 0.80144672030596E-006 -.47288908258573E-020 0.25359886074120E-009 0.73914999712964E+000 -.50605486386435E-023 0.30776999520686E+003 0.25500766657376E-001 -.15516951153787E+003 0.10000000000000E+001 0.21326528772953E+003 0.10000000000000E+006 0.10976391351481E-002 0.28087981850201E+002 0.10000000000000E+001 0.10000000000000E+001 0.30776999520686E+003 0.17932282952086E-003 0.00000000000000E+000
  13 -.21821180960218E+000 0.15343331303515E-004 0.23592899846985E-014 0.15810967011603E-010 0.22639887999262E+000 0.85152372928766E-009 0.81124077474360E-003 0.14452057189419E-005 0.46864609506295E-015 0.25423588897184E-016 0.11333552507619E-007 0.33448490701046E-001 0.11031434697699E-003 0.10015705158196E-003 0.30849220010657E-013 0.28705370560796E-005 0.33546414564503E-008 0.12370171553170E-005 0.14767162727641E-011 0.12313955325748E-005 -.59561859323823E-020 0.34784426145481E-009 0.73910877374138E+000 -.66774488502582E-023 0.31042492567544E+003 0.24912296961584E-001 -.15481009209372E+003 0.10000000000000E+001 0.21365806535352E+003 0.10000000000000E+006 0.10882231327848E-002 0.28087249656977E+002 0.10000000000000E+001 0.10000000000000E+001 0.31042492567544E+003 0.32335078589669E-003 0.92276757278182E-034
  14 -.21591209608500E+000 0.16646298349053E-004 0.43581741067554E-014 0.19485578087416E-010 0.22629363803569E+000 0.12015648837818E-008 0.10162280482716E-002 0.18616032867607E-005 0.82574209644702E-015 0.45266469543662E-016 0.14330653794770E-007 0.33313919789308E-001 0.14222971682357E-003 0.13884168247374E-003 0.60292331340132E-013 0.39843318642409E-005 0.53517004997126E-008 0.17055412710712E-005 0.27050054274064E-011 0.17430303707580E-005 -.71833393469128E-020 0.44928875769570E-009 0.73906918056683E+000 -.82082772089063E-023 0.31322621706045E+003 0.24417908136932E-001 -.15445983374494E+003 0.10000000000000E+001 0.21407725089376E+003 0.10000000000000E+006 0.10784593759326E-002 0.28086431967214E+002 0.10000000000000E+001 0.10000000000000E+001 0.31322621706045E+003 0.52273041659523E-003 0.17609544921965E-026
  15 -.21392904374884E+000 0.17845128085652E-004 0.73468536988708E-014 0.23446198821153E-010 0.22617231238258E+000 0.15990244173643E-008 0.12280283378917E-002 0.23033144530266E-005 0.13272349235831E-014 0.73539375345269E-016 0.17532588080418E-007 0.33179853700423E-001 0.17612751688186E-003 0.18267432531791E-003 0.10547828405207E-012 0.52469055523111E-005 0.79354585891717E-008 0.22339581717191E-005 0.44818848552988E-011 0.23340482745496E-005 -.84126279767721E-020 0.55719830900726E-009 0.73903101273006E+000 -.96705744162456E-023 0.31615715653912E+003 0.23989654841092E-001 -.15411936802927E+003 0.10000000000000E+001 0.21451947319407E+003 0.10000000000000E+006 0.10684272618478E-002 0.28085531883875E+002 0.10000000000000E+001 0.10000000000000E+001 0.31615715653912E+003 0.78477177940448E-003 0.13674921436014E-026
