[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 0.12611763063779E-111 0.53358525246979E-039 -.27901220860072E-111 -.15128958194788E-037 0.12320094178918E-072 -.12320094178918E-072 0.15128958194788E-037 0.00000000000000E+000 0.00000000000000E+000 0.15662543447258E-037 -.15662543447258E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.70358851402602E-147 0.70358851402602E-147 -.70358851402602E-147 0.00000000000000E+000 -.37757096506038E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.46292110092723E+000 -.45815168499660E-061 0.53358525246979E-039 -.72628581086754E-044 -.15129239779452E-037 -.13413978141282E-039 0.13442862893522E-039 0.15128958194788E-037 0.40406097372166E-075 0.92765714602892E-072 0.15796697754387E-037 -.15796979339051E-037 -.15304270554256E-070 0.15304270427618E-070 0.62825538465739E-062 0.28158466429420E-042 0.69686197234553E-054 -.65684762140650E-075 0.17215140334708E-077 0.30125086249997E-069 0.17514295649452E-079 0.17514295649452E-079 -.17514295649452E-079 0.00000000000000E+000 -.37676287370198E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.42584622100360E+000 -.68025829710896E-057 0.53358525246979E-039 -.62202429021803E-043 -.15129547796799E-037 -.13012871256335E-039 0.13078051700322E-039 0.15128958194788E-037 0.84593033497098E-075 0.18896820322433E-071 0.15792796564679E-037 -.15793386166690E-037 -.26609122032036E-070 0.26609121811853E-070 0.25610033898075E-061 0.58960201084160E-042 0.14591391942591E-053 -.21625339318320E-073 0.75476787032742E-077 0.13207730966396E-068 0.15000041521142E-078 0.15000041521142E-078 -.15000041521142E-078 0.00000000000000E+000 -.37677804553120E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.38878364332889E+000 -.22145975496079E-053 0.53358525246979E-039 -.21841598350383E-042 -.15129882979236E-037 0.11432004314471E-041 -.42690597227217E-072 0.15128958194788E-037 0.13200050852444E-074 0.20615667345153E-079 0.15661837078793E-037 -.15662761863241E-037 -.93992633133076E-072 0.93992632355311E-072 0.30086949484132E-061 0.92478444794101E-042 0.22886442200322E-053 -.80114764947833E-073 0.18568412973240E-076 0.32493114223898E-068 0.52670753745766E-078 0.52670753745766E-078 -.52670753745766E-078 0.00000000000000E+000 -.37755123245163E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.35175505292401E+000 -.13473140279714E-047 0.53358525381709E-039 0.23303021525221E-046 -.94313028256797E-035 0.26464362598706E-035 0.67697376075910E-035 0.15128958194738E-037 0.36809157900911E-065 0.15621891782497E-059 -.26307737164481E-035 -.67854001510368E-035 -.18617086719306E-070 0.18617086578590E-070 0.10888030886456E-058 0.94161738674616E-035 0.23303021525221E-046 -.30515712259269E-081 0.19251282346212E-062 0.33686759817833E-054 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.24352929003148E-029 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.31481787957888E+000 -.73123141484168E-043 0.53365837560947E-039 0.35531705553360E-044 -.14357633516113E-032 0.36990818750371E-033 0.10658400351458E-032 0.15128958185678E-037 0.87992254313364E-061 0.37502275322988E-055 -.36989252503694E-033 -.10658556976161E-032 -.42205742516405E-068 0.42205742494469E-068 0.18558543980469E-056 0.14357482226495E-032 0.35531705553367E-044 -.18463454106546E-077 0.44757932597562E-058 0.78318953674340E-050 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.37390296596836E-027 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.27811789014734E+000 0.14802772823804E-038 -.93769140095111E-031 -.45582159581914E-031 -.20625269563491E-030 0.35940483623215E-031 0.12212521788920E-030 0.93769154010175E-031 0.28121377901942E-040 -.10041427211653E-039 0.55223853673970E-031 -.16770739492066E-030 0.55084817732083E-040 0.81295667982332E-059 0.42912111988492E-050 0.11248354126362E-030 0.27839136655750E-042 -.23975318774570E-057 0.27476924813518E-054 0.48071566058707E-046 0.10992083427416E-066 0.10992083427416E-066 -.10992083427416E-066 0.00000000000000E+000 0.50332067038550E-025 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.24200703989677E+000 -.91928650060287E-029 -.27413426691509E-026 -.43031027814552E-023 -.36182101169463E-026 -.16029226738844E-022 0.20333197194898E-022 0.27505355260114E-026 0.43992777880912E-040 -.16060158855940E-037 0.24635423108914E-022 -.24636290783496E-022 0.13253004210723E-037 0.25694202739904E-056 0.37282211798340E-039 0.86767458263971E-027 0.21473082693494E-038 -.13109943334423E-043 0.20247258828107E-046 0.28603838007534E-038 -.10770116577895E-036 0.10770116577895E-036 -.10376876698364E-058 0.00000000000000E+000 0.11635393655349E-017 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.20742584885468E+000 -.13343088376104E-022 -.39751494014558E-022 -.50003130996324E-019 -.34969872305860E-021 -.15053244892025E-017 0.15556242204329E-017 0.53096148777558E-022 -.25654265848203E-029 -.12520306874448E-030 0.16053173998643E-017 -.16056140054423E-017 0.97339527238797E-029 0.23010083291882E-029 0.39191355141146E-032 0.29660466552649E-021 0.23465445869307E-027 0.94423893985292E-043 0.19100400134936E-035 0.33424439836655E-027 -.15312853399013E-031 0.15312853399012E-031 0.23327718213016E-045 0.00000000000000E+000 0.92300435952725E-013 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.17677825704776E+000 -.33993895128975E-018 -.90720972807317E-019 -.17463284277029E-016 -.12363378581239E-016 -.37341502813827E-014 0.37576832952693E-014 0.62794381761223E-017 -.81700488511804E-023 -.41884715219653E-024 0.37683981815308E-014 -.37747143486827E-014 -.28540060739160E-021 0.76330001888378E-021 -.74491658457610E-024 0.12009130187819E-016 -.59122194416716E-017 0.26267840985324E-021 -.27939026783721E-021 0.10941063194952E-018 -.14519693957039E-028 0.14519693852965E-028 0.52037383871156E-037 0.00000000000000E+000 0.22611827087089E-009 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  11 -.15375975525551E+000 -.32189391665993E-015 -.26781281610471E-016 -.84400543266818E-015 -.80789156211887E-013 -.74644267232916E-012 0.77410000079945E-012 0.53874512649623E-013 -.39370482177217E-019 -.14069323945869E-020 0.74057102078598E-012 -.77234950263734E-012 -.18007809266950E-017 0.37314834606895E-016 -.53315286654538E-019 0.82499260444972E-013 -.55556071931074E-013 0.70534058937465E-017 -.79918427067337E-017 0.24008751250548E-014 -.78881278780693E-027 0.78881130953500E-027 0.73913596813016E-033 0.00000000000000E+000 0.59770841814607E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  12 -.13996671546803E+000 -.20678515654810E-013 -.12510992010802E-014 -.28342049959683E-013 -.85320823424235E-011 -.17863757941120E-010 0.22446357736586E-010 0.39574060336496E-011 -.44056126694749E-017 -.17869512825294E-018 0.16660158913375E-010 -.21907943826501E-010 0.97416010723839E-014 0.15696627033010E-013 -.15763565213442E-016 0.89581599326093E-011 -.44041841521416E-011 0.13942174740989E-014 -.14153317450675E-014 0.33421674048432E-012 -.64667503987104E-026 0.64665694279218E-026 0.90485394319702E-031 0.00000000000000E+000 0.30864771795072E-005 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  13 -.13280596391919E+000 -.18129686825366E-012 -.13391939321512E-013 -.21229090326028E-012 -.82142751078228E-010 -.87285591470221E-010 0.13784771159154E-009 0.31431029239889E-010 -.56080414968388E-016 -.26390546240383E-017 0.71623934211832E-010 -.12894347886003E-009 0.38660324206639E-012 0.32530860137084E-012 -.32129503728376E-015 0.88357921851341E-010 -.38321206542497E-010 0.24711827624466E-013 -.20983310458726E-013 0.32819202380439E-011 -.18269654769280E-025 0.18267899984727E-025 0.87739227647609E-030 0.00000000000000E+000 0.26953284616587E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
