[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.22659191879081E+000 0.00000000000000E+000 0.39645358373647E-033 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.34081758152042E-001 0.00000000000000E+000 -.26730657858695E-033 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.49552563668580E-124 0.00000000000000E+000 0.62372255144443E-124 0.00000000000000E+000 0.00000000000000E+000 0.73932632305714E+000 0.00000000000000E+000 0.30000000000000E+003 0.96199455207726E-002 -.15649619001421E+003 0.10000000000000E+001 0.79554228660372E+002 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.37757096506038E-032 0.16797959512845E-022
   2 -.49990875386186E+000 0.87282208811599E-006 0.38824913725512E-010 0.17751892245495E-008 0.22602564401441E+000 0.30840664253146E-007 0.29940070175895E-003 0.13775019562562E-005 0.10418660376961E-011 0.17561329319326E-013 0.19630660434776E-006 0.33981935640191E-001 0.91415923571816E-004 0.26821840318276E-003 0.45839772472781E-011 0.52574268099585E-005 0.29054208008104E-006 0.28778577931274E-005 0.50534556521516E-008 0.52210211440663E-005 0.26218518346732E-019 0.15194088783833E-008 0.73931725260522E+000 -.11099322693380E-038 0.30550868152513E+003 0.96118450020956E-002 -.15703938703126E+003 0.10000000000000E+001 0.79554228660372E+002 0.10000000000000E+006 0.11058318525056E-002 0.28089714576527E+002 0.10000000000000E+001 0.10000000000000E+001 0.30550868152513E+003 0.70780504554397E-001 0.16797959512845E-022
   3 -.49981584205556E+000 0.17578681161941E-005 0.79562823361282E-010 0.35664691626344E-008 0.22545524823640E+000 0.61961585881429E-007 0.60025815685960E-003 0.27647649872891E-005 0.23117954459894E-011 0.66134343678255E-013 0.39438642480531E-006 0.33881256630389E-001 0.18356790644949E-003 0.53826696924195E-003 0.12235600909824E-010 0.10548582803568E-004 0.58315628125984E-006 0.57771966087387E-005 0.10150060720457E-007 0.10483383528323E-004 0.52697947300737E-019 0.30507447791920E-008 0.73930901393887E+000 -.23222949252853E-038 0.31105363971661E+003 0.96036831945197E-002 -.15757191100784E+003 0.10000000000000E+001 0.79554456051355E+002 0.10000000000000E+006 0.10860367795174E-002 0.28087591217316E+002 0.10000000000000E+001 0.10000000000000E+001 0.31105363971661E+003 0.14817095594305E+000 0.16817654296097E-022
   4 -.49971982108698E+000 0.26687271128877E-005 0.12432585421145E-009 0.54016116071119E-008 0.22487208188827E+000 0.93845416912239E-007 0.90715781242637E-003 0.41825853712703E-005 0.39658280852161E-011 0.14913479647217E-012 0.59729796942160E-006 0.33778148573664E-001 0.27786224297991E-003 0.81425737479714E-003 0.24220079861978E-010 0.15954019672040E-004 0.88238793902347E-006 0.87422980326755E-005 0.15371304107703E-007 0.15867497286151E-004 0.79844035438569E-019 0.46173662780848E-008 0.73930147790612E+000 -.36537194597552E-038 0.31671884859396E+003 0.95953888609072E-002 -.15810178849384E+003 0.10000000000000E+001 0.79554920850606E+002 0.10000000000000E+006 0.10665286392217E-002 0.28085431905018E+002 0.10000000000000E+001 0.10000000000000E+001 0.31671884859396E+003 0.23488261320590E+000 0.10242816380424E-022
   5 -.49962033072792E+000 0.36085508458212E-005 0.17488058242743E-009 0.72873351021207E-008 0.22427433303013E+000 0.12660318931000E-006 0.12210582299356E-002 0.56351372356936E-005 0.61016579784337E-011 0.26915699133637E-012 0.80576303496946E-006 0.33672240284708E-001 0.37460292646972E-003 0.10970614625694E-002 0.41253627843209E-010 0.21490736746115E-004 0.11892494310512E-005 0.11782717310634E-004 0.20738709701185E-007 0.21390798299905E-004 0.10774756351976E-018 0.62243053659351E-008 0.73929464003724E+000 -.51083701271942E-038 0.32252166590504E+003 0.95869540546042E-002 -.15863024736995E+003 0.10000000000000E+001 0.79555637270661E+002 0.10000000000000E+006 0.10472575554481E-002 0.28083230965170E+002 0.10000000000000E+001 0.10000000000000E+001 0.32252166590504E+003 0.33233399983319E+000 0.15196770013255E-022
   6 -.49951734177900E+000 0.45773290850440E-005 0.23299130740236E-009 0.92243416493796E-008 0.22366222331915E+000 0.16023482116450E-006 0.15418468957230E-002 0.71216580656725E-005 0.87806774202564E-011 0.42866293686983E-012 0.10198281190859E-005 0.33563517978634E-001 0.47376561876878E-003 0.13865893621672E-002 0.63861544694810E-010 0.27156880613317E-004 0.15036823792062E-005 0.14897686000790E-004 0.26256730166316E-007 0.27051965165522E-004 0.13640533893651E-018 0.78711382269545E-008 0.73928852390303E+000 -.66852376808427E-038 0.32845965491673E+003 0.95783897764338E-002 -.15915663830400E+003 0.10000000000000E+001 0.79556618751769E+002 0.10000000000000E+006 0.10282428832608E-002 0.28080990314045E+002 0.10000000000000E+001 0.10000000000000E+001 0.32845965491673E+003 0.44131714602361E+000 0.15072370487347E-022
   7 -.49941094420228E+000 0.55739354360535E-005 0.30051813536655E-009 0.11211552765081E-007 0.22303666139306E+000 0.19470215675008E-006 0.18690547440202E-002 0.86397246695052E-005 0.12040057829050E-010 0.62992647670725E-012 0.12393314592924E-005 0.33452089569897E-001 0.57521451638211E-003 0.16824274609463E-002 0.92491164154449E-010 0.32944257956069E-004 0.18252433465821E-005 0.18082945669823E-004 0.31924796100714E-007 0.32843303670182E-004 0.16578227101409E-018 0.95555913341172E-008 0.73928315577371E+000 -.83803863228665E-038 0.33452370435398E+003 0.95697092656302E-002 -.15967978801287E+003 0.10000000000000E+001 0.79557876828769E+002 0.10000000000000E+006 0.10095216714149E-002 0.28078714355454E+002 0.10000000000000E+001 0.10000000000000E+001 0.33452370435398E+003 0.56222787662014E+000 0.14235939789337E-022
   8 -.49930118122448E+000 0.65976949920599E-005 0.37952606586846E-009 0.13249286661264E-007 0.22239824552924E+000 0.22998378608243E-006 0.22023792595347E-002 0.10187673283661E-004 0.15904575050438E-010 0.87525095105806E-012 0.14642525415210E-005 0.33338008608532E-001 0.67886365481083E-003 0.19843099768111E-002 0.12758359720947E-009 0.38847565634894E-004 0.21536122057615E-005 0.21335816264832E-004 0.37746365177466E-007 0.38759952761195E-004 0.19585804944620E-018 0.11276220892961E-007 0.73927855362383E+000 -.10189440167979E-037 0.34070771175046E+003 0.95609103541507E-002 -.16019887366726E+003 0.10000000000000E+001 0.79559422319949E+002 0.10000000000000E+006 0.99111689589227E-003 0.28076406302040E+002 0.10000000000000E+001 0.10000000000000E+001 0.34070771175046E+003 0.69530223249052E+000 0.14149924730293E-022
   9 -.49918777079591E+000 0.76509561267972E-005 0.47257240387024E-009 0.15344391951369E-007 0.22174568499341E+000 0.26616322949077E-006 0.25425045679561E-002 0.11768414804439E-004 0.20405081533754E-010 0.11678392900827E-011 0.16952755862002E-005 0.33220990435417E-001 0.78493383581288E-003 0.22928650311450E-002 0.16971303303313E-009 0.44878963801288E-004 0.24894023888349E-005 0.24663249574939E-004 0.43743665046157E-007 0.44814546031729E-004 0.22670226435238E-018 0.13036675839672E-007 0.73927472137612E+000 -.12112579932883E-037 0.34702384904182E+003 0.95519839802122E-002 -.16071460952597E+003 0.10000000000000E+001 0.79561270738726E+002 0.10000000000000E+006 0.97299647218557E-003 0.28074062552595E+002 0.10000000000000E+001 0.10000000000000E+001 0.34702384904182E+003 0.84105972448627E+000 0.13332679720962E-022
  10 -.49907056381269E+000 0.87347981634445E-005 0.58247977854294E-009 0.17501767383506E-007 0.22107849399741E+000 0.30328103047035E-006 0.28896925266515E-002 0.13382890039858E-004 0.25568181320143E-010 0.15109663555127E-011 0.19328491061438E-005 0.33100891805101E-001 0.89351578217646E-003 0.26083407980480E-002 0.21947504994586E-009 0.51043153075585E-004 0.28327724694721E-005 0.28068113800302E-004 0.49933565552831E-007 0.51012271403623E-004 0.25834819390518E-018 0.14838444510087E-007 0.73927167185871E+000 -.14147205917383E-037 0.35347644234508E+003 0.95429387490244E-002 -.16122699976673E+003 0.10000000000000E+001 0.79563436867512E+002 0.10000000000000E+006 0.95515376692273E-003 0.28071682496938E+002 0.10000000000000E+001 0.10000000000000E+001 0.35347644234508E+003 0.99982513012616E+000 0.18853750085332E-022
