[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.00 300.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 0.00000000000000E+000 0.96855890040176E-038 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.96855890040176E-038 -.96855890040176E-038 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.42572028987537E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.46123553246360E+000 0.33390379237011E-033 -.33389410678111E-033 -.44401939683066E-032 0.83018293885183E-084 0.44401939683066E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.47741074462657E-032 -.47741074462657E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.40642703921860E-064 -.53571728958002E-068 0.26560181766573E-058 -.13815798640961E-048 0.13815798638305E-048 -.61850771223605E-090 -.61850771223605E-090 0.61850771223605E-090 0.00000000000000E+000 -.53093869764470E-028 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.42247159152646E+000 0.23396771521527E-032 -.23396674652329E-032 -.56860379349617E-032 -.11025400269344E-061 0.56860379349617E-032 -.94297739796310E-061 0.78180425192260E-062 -.18244092302639E-032 -.49066883832579E-031 0.10980831089839E-030 -.58917017835546E-031 0.13307934641895E-041 0.98114394009823E-061 -.13307934666489E-041 0.24602637202680E-050 -.35089509276988E-065 0.17490771126903E-058 -.90981671017235E-049 0.90981670999743E-049 -.13771759701270E-066 0.13771759701270E-066 -.62270762025071E-084 0.00000000000000E+000 0.29854814127105E-026 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.38370949981607E+000 0.19347515173831E-032 -.19347418278565E-032 0.19666617666347E-060 -.10332417211235E-061 -.80200667050790E-031 0.80200667050790E-031 0.64650173054367E-062 -.21998146945461E-032 0.13946493040445E-046 0.86535057642855E-031 -.84335242948308E-031 0.39375108046472E-041 -.79465436172831E-072 -.39375108119266E-041 0.72793548556326E-050 0.00000000000000E+000 -.10970266541005E-080 0.10970266541005E-080 0.00000000000000E+000 -.25390496024106E-056 0.25390496024106E-056 0.00000000000000E+000 0.00000000000000E+000 0.48306573997856E-026 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.34495202437166E+000 0.38805837905352E-032 -.38805741010086E-032 0.40343285086994E-070 -.12967185006317E-061 0.37909097546872E-068 0.16065742647144E-068 0.12967179610770E-061 0.14073879700990E-047 -.16289832768139E-031 0.36460259012403E-031 -.20170426244263E-031 0.39375442575806E-041 -.12606197787843E-061 -.39375442648600E-041 0.72794145334690E-050 0.00000000000000E+000 -.21792311866498E-080 0.21792311866498E-080 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.98780456832679E-027 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.30620294673183E+000 0.35681648474130E-032 -.35681551578865E-032 0.10116276736754E-066 -.12981182786388E-061 0.10579883237996E-062 0.00000000000000E+000 0.11923093336876E-061 -.60183133451827E-033 0.52760770407096E-047 0.47718372020386E-032 -.41700058675203E-032 0.39374974984269E-041 0.00000000000000E+000 -.39374975057062E-041 0.72793280888410E-050 0.00000000000000E+000 -.19844571232460E-080 0.19844571232460E-080 0.00000000000000E+000 -.10112571268446E-066 0.10112571268446E-066 0.87572817462635E-084 0.00000000000000E+000 0.18285914495105E-029 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.26746602453423E+000 0.26505539874855E-032 -.26505442979597E-032 0.24303826240602E-066 -.92450201707415E-062 0.38942884087601E-063 0.22670517667047E-067 0.88553256488333E-062 -.22153344586081E-033 -.22991007181237E-030 0.46291377418953E-030 -.23278216893130E-030 0.39367987640581E-041 -.29578221353267E-061 -.39367987713362E-041 0.72780363249113E-050 0.00000000000000E+000 -.14583400529667E-080 0.14583400529667E-080 0.00000000000000E+000 -.24301073448561E-066 0.24301073448561E-066 0.77028138086243E-083 0.00000000000000E+000 0.14130485348029E-025 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.22876025595139E+000 -.54694415106198E-057 0.96895228769148E-038 0.90429506681564E-058 -.97260319274863E-061 -.17874524534437E-029 0.17874524534437E-029 0.10350406765825E-067 -.55376797984107E-031 0.98617713398348E-045 0.18982060590975E-029 -.18428292611134E-029 0.39338728952544E-041 -.82662484672846E-072 -.39338729025270E-041 0.72738433460843E-050 -.50850094706307E-064 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.10796590793620E-024 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.19022417342295E+000 -.24313719812855E-055 0.96895152211278E-038 0.11986076369722E-078 0.63742913750797E-049 0.12748561301031E-047 0.00000000000000E+000 -.13385990438539E-047 0.20779938433853E-058 0.64578130014041E-057 0.96855887980492E-038 -.96855890039537E-038 0.39262171176328E-041 0.00000000000000E+000 -.39262171248913E-041 0.72584738325138E-050 0.12748561301031E-047 0.35641626219205E-079 0.58164726805071E-054 0.10231480197973E-045 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.42574600133436E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.15244577488674E+000 -.20456976665638E-050 0.96895053113458E-038 0.14407277304171E-066 0.11545295858678E-046 0.24497045177630E-045 0.50081035405885E-053 -.25651575264308E-045 -.18415381539985E-028 -.73235340258444E-026 0.14683898814778E-025 -.73419494073941E-026 0.39113863480235E-041 -.33157623548413E-052 -.39113861307341E-041 0.93575808049937E-047 0.23539565280421E-045 0.49457330611221E-044 0.51498958465145E-051 0.90589364338891E-043 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.45068036559070E-021 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
