[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.00 300.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i    x(i)                 H2                    H                     O                     O2                    OH                    H2O                   HO2                   CH2                   CH2(S)                CH3                   CH4                   CO                    CO2                   HCO                   CH2O                  CH3O                  C2H4                  C2H5                  C2H6                  N                     NO                    N2                    AR                    Temp                  Massflow              Enthalpy              MixFrac               Stretch               Press                 Density               MeanMass              Surface               Porosity              Tsolid                HeatRel               Dissipation
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.30000000000000E+003 0.38205674683444E-001 -.46458389572342E+004 0.10000000000000E+001 0.13411522066993E+003 0.10000000000000E+006 0.64317894549808E-003 0.16043080000000E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.42572028987537E-032 0.25127136924626E-029
   2 -.45040349229498E+000 0.46177669641961E-010 0.53448776371539E-018 0.23083714899260E-033 0.47585917219688E-027 0.14304551600789E-036 0.21278142565034E-027 0.63492525486743E-038 -.18794979160855E-041 -.12462829365957E-041 0.22728296401160E-019 0.99999999947596E+000 0.69898948384067E-033 -.78096229807125E-039 -.25207296293090E-047 -.10221045799994E-042 -.16015545009819E-044 -.14275010660134E-039 -.95847626790037E-037 -.17444856347723E-028 0.49590565223387E-028 0.15416596209868E-037 0.47786548468118E-009 -.27588052142462E-025 0.30000000039815E+003 0.33928446189291E-001 -.46458389539099E+004 0.10000000000000E+001 0.13411522066993E+003 0.10000000000000E+006 0.64317894456914E-003 0.16043079998121E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000039815E+003 -.41016900848093E-017 0.25127136924626E-029
   3 -.40082948699751E+000 0.16362156671925E-008 0.61895773563909E-017 0.35236813751810E-029 0.68373860329801E-025 0.21770116325778E-032 0.15487057223899E-022 0.29324785009034E-028 0.23622368681193E-036 -.23118565649851E-040 0.31880447199282E-018 0.99999998445409E+000 0.14697460946297E-023 0.12861392210337E-028 0.52392761331822E-036 0.82973429255799E-033 0.13298213771854E-034 0.13198674841339E-029 0.13542520433362E-034 -.29035251469038E-027 -.11487362243155E-026 0.80784636337149E-028 0.13909694742729E-007 -.27588192065761E-025 0.30000000444074E+003 0.29655653451943E-001 -.46458388750411E+004 0.10000000000000E+001 0.13411522092356E+003 0.10000000000000E+006 0.64317893247774E-003 0.16043079912705E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000444074E+003 -.47499181055927E-016 0.26271677706907E-025
   4 -.35133582371940E+000 0.36938414993649E-007 0.51420036451977E-016 0.80681980557555E-026 0.52277700340124E-018 0.13402591404503E-029 0.34621854611925E-015 0.11605124591281E-021 0.65439087860147E-029 -.14623995908295E-038 0.31244793250000E-017 0.99999971485907E+000 0.44954614876019E-017 -.14583201919540E-020 0.12904836084319E-030 -.99406691671039E-025 -.15923107044908E-026 -.15388154099222E-021 -.18982366913564E-026 -.18601041267657E-023 0.20120232982051E-024 0.20682078813130E-021 0.24820251570953E-006 -.27588465005625E-025 0.29999997949015E+003 0.25397241627707E-001 -.46458376767655E+004 0.10000000000000E+001 0.13411522208098E+003 0.10000000000000E+006 0.64317889237353E-003 0.16043077578088E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999997949015E+003 -.39459916356750E-015 0.42438251653835E-023
   5 -.30209524458081E+000 0.54423099157607E-006 0.32368239796503E-015 0.43116533149815E-023 0.72888543467795E-013 -.41173525273290E-024 0.15387388135235E-010 0.19014140714672E-016 0.32542769086290E-024 -.37856458555668E-035 0.89091873177851E-016 0.99999693599389E+000 0.10453652096414E-011 -.85976605658240E-016 0.83237683039836E-024 -.14594692353631E-019 -.20677754398775E-021 -.14287032589609E-016 -.25775509444865E-021 -.25605192757421E-018 0.18787290949700E-021 0.54710614101624E-016 0.25197586140343E-005 -.55624553338998E-025 0.29999910327030E+003 0.21195533409159E-001 -.46458267020386E+004 0.99999999999971E+000 0.13411521706054E+003 0.10000000000000E+006 0.64317912494404E-003 0.16043036521627E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999910327030E+003 -.24836836785425E-014 0.68672528379766E-021
   6 -.25391632545035E+000 0.51535403069537E-005 0.15277399024991E-014 0.65511191297460E-021 0.23048528525254E-009 -.29207863597191E-020 0.29483268584002E-007 0.64119296845100E-013 0.66147941630403E-021 -.37584176079520E-032 0.16256974828846E-012 0.99998098392387E+000 0.40362841814898E-008 0.71293888190766E-010 0.26332722484005E-019 0.89186868494450E-014 0.12757543553232E-015 0.10438600742518E-010 0.13192570619177E-015 0.12694317611767E-012 0.47941104849047E-019 0.22129318238639E-012 0.13828703462322E-004 -.29414758561886E-021 0.29999367416313E+003 0.17251755945452E-001 -.46457649608905E+004 0.99999999999648E+000 0.13411538189435E+003 0.10000000000000E+006 0.64317324830301E-003 0.16042599609133E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999367416313E+003 -.98661728090162E-014 0.26507542498521E-020
   7 -.21065532537451E+000 0.28452915578115E-004 0.50294877373266E-014 0.26663448610753E-019 0.50105603836905E-007 0.12395764075170E-017 0.49738922924589E-005 0.14386470086765E-010 0.11578775182502E-018 -.83055089879323E-027 0.31266461934350E-010 0.99991611526922E+000 0.96737684998036E-006 0.14423264791022E-006 0.27595555920883E-016 0.31056194693430E-010 0.40553044380595E-012 0.24072936663452E-007 0.74587282038755E-012 0.78417689484748E-009 0.25692552702895E-017 0.54234747018157E-010 0.49271218589944E-004 -.29032469954397E-021 0.30003175919942E+003 0.14065619943445E-001 -.46454493997558E+004 0.99999999999312E+000 0.13412141324110E+003 0.10000000000000E+006 0.64299779880074E-003 0.16040259488823E+002 0.10000000000000E+001 0.10000000000000E+001 0.30003175919942E+003 0.22084432345461E-010 0.57366145641264E-023
   8 -.18002614986763E+000 0.80677658742012E-004 0.10478951681474E-013 0.25271925283912E-018 0.10687972160380E-005 0.45256660614506E-015 0.93893603364975E-004 0.31151550240732E-009 0.22418410417341E-017 0.15081521451865E-024 0.62959509351348E-009 0.99952858271474E+000 0.21612830005253E-004 0.78405604985409E-005 0.89722225742487E-015 0.20400957556353E-008 0.25805045273188E-010 0.13719487615760E-005 0.57277368697385E-010 0.61881535217502E-007 0.26904391838968E-016 0.12243965559248E-008 0.26488571644049E-003 -.38385933442343E-022 0.30068230695878E+003 0.12011973860765E-001 -.46435373033534E+004 0.99999999999498E+000 0.13418743195872E+003 0.10000000000000E+006 0.64144841529111E-003 0.16036304175533E+002 0.10000000000000E+001 0.10000000000000E+001 0.30068230695878E+003 0.85720841157385E-008 0.98723481169252E-020
   9 -.16293734892327E+000 0.13575969902716E-003 0.15339399716653E-013 0.77018685850051E-018 0.47804917589356E-005 0.83730569290539E-014 0.39617607938856E-003 0.14038238197809E-008 0.97882987867281E-017 0.12237536131930E-022 0.27450280942169E-008 0.99819244356129E+000 0.98818582008362E-004 0.53829996725494E-004 0.37879656347980E-014 0.15215929348994E-007 0.18885557434059E-009 0.96185875041817E-005 0.45727368027956E-009 0.49984769872629E-006 0.85653193380425E-016 0.56253148169786E-008 0.11080475183474E-002 0.10378110429707E-020 0.30262046906027E+003 0.10874753399591E-001 -.46377573505418E+004 0.99999999999812E+000 0.13438887507133E+003 0.10000000000000E+006 0.63738984139787E-003 0.16037553298013E+002 0.10000000000000E+001 0.10000000000000E+001 0.30262046906027E+003 0.16065488039909E-006 0.19822343987205E-019
  10 -.15347360175569E+000 0.17755531439681E-003 0.19078044407011E-013 0.13353566662381E-017 0.10215360062273E-004 0.35729221911710E-013 0.82165217865535E-003 0.30132264192887E-008 0.21320071585778E-016 0.11136456114565E-021 0.58041430181034E-008 0.99625340096215E+000 0.21355609027733E-003 0.14280003843355E-003 0.74941746558235E-014 0.42074211607837E-007 0.51484428951639E-009 0.25788484651986E-004 0.13091120806858E-008 0.14393932363543E-005 0.15431581384856E-015 0.12185670998067E-007 0.23535272768698E-002 0.21661459289937E-020 0.30523115337760E+003 0.10210869236318E-001 -.46298391455951E+004 0.10000000000001E+001 0.13467134695106E+003 0.10000000000000E+006 0.63219322966025E-003 0.16044026602411E+002 0.10000000000000E+001 0.10000000000000E+001 0.30523115337760E+003 0.70706313743589E-006 0.22154317588744E-019
