[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.00 300.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.30000000000000E+003 0.78219834604995E-001 -.46458389572342E+004 0.10000000000000E+001 0.26823044114615E+003 0.10000000000000E+006 0.64317894549808E-003 0.16043080000000E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.42572028987537E-032 0.37690380765629E-036
   2 -.45199329440189E+000 0.17089197629561E-018 0.19051389034720E-022 0.88852695107570E-052 0.17014755321359E-031 -.12711901990702E-044 -.83011050334455E-032 0.18461525184796E-048 -.29554451575864E-047 -.15483831306202E-047 0.38308449665220E-024 0.99999999999998E+000 -.60582731856765E-061 0.34441541549800E-063 0.16900296254171E-073 0.14211283550841E-060 -.42535546261983E-068 -.21958242067820E-060 -.17196266971166E-042 -.31298269666724E-034 -.15665728632651E-032 0.26924326186001E-072 0.15914044687309E-013 -.93932169873722E-062 0.29999999999997E+003 0.69938119418376E-001 -.46458389572342E+004 0.10000000000000E+001 0.26823044114615E+003 0.10000000000000E+006 0.64317894549815E-003 0.16043080000000E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999999997E+003 -.14620146171963E-021 0.37690380765629E-036
   3 -.40399134110710E+000 0.52427672414544E-015 0.22210535784718E-020 0.18948986879992E-049 -.41123440881392E-030 -.27362063242507E-042 0.40474658094127E-031 0.35547408841145E-044 -.42947972840763E-045 -.23039205289924E-045 0.50319105088655E-022 0.10000000000005E+001 -.13548869559639E-051 0.99854850004347E-054 0.73795594881226E-063 0.61110711859762E-055 0.76653118667255E-061 0.39094481116277E-056 -.25048303897041E-040 -.45589462660485E-032 0.15114923792884E-031 0.53359926937214E-058 -.50132505482780E-012 0.11722763760469E-054 0.30000000000116E+003 0.61658615577467E-001 -.46458389572339E+004 0.10000000000000E+001 0.26823044114626E+003 0.10000000000000E+006 0.64317894549545E-003 0.16043079999997E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000116E+003 -.17044493666300E-019 0.00000000000000E+000
   4 -.35601027130158E+000 0.42945412705433E-012 0.14281949368183E-018 0.22459576821129E-047 -.25395655823841E-028 -.26701387701704E-040 -.50690082418702E-028 -.22254016253573E-041 -.30880177898086E-043 -.17088293321970E-043 0.36884094178772E-020 0.99999999997676E+000 0.21276215518834E-040 -.98144158980809E-043 0.55003265287411E-050 -.19825363008535E-047 -.10071719473442E-048 -.92601836940859E-044 -.20612696533168E-038 -.37516382847876E-030 0.46485866332276E-029 0.16170179824977E-045 0.22811493891783E-010 -.14235502391798E-047 0.30000000002538E+003 0.53388430625577E-001 -.46458389570696E+004 0.10000000000000E+001 0.26823044114845E+003 0.10000000000000E+006 0.64317894544802E-003 0.16043080000108E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000002538E+003 -.10960050574223E-017 0.37690380960004E-036
   5 -.30811635045717E+000 0.11661215520477E-009 0.52439391769122E-017 -.32659228873541E-037 -.29341344851560E-027 -.21062820494339E-038 0.48866034913093E-028 0.35057310015065E-035 0.10308023997854E-040 -.76017561719297E-042 0.15728570667629E-018 0.99999999878772E+000 0.47351250141605E-030 -.29419732143614E-032 0.63790556126959E-038 -.22945625921347E-035 -.22041690298764E-037 -.87920187977984E-033 -.11073002882917E-036 -.18213922477761E-028 0.46074647042541E-027 0.38896618290575E-035 0.10956679518823E-008 0.12038266755421E-040 0.30000000611560E+003 0.45154477505344E-001 -.46458389379650E+004 0.10000000000000E+001 0.26823044180327E+003 0.10000000000000E+006 0.64317893216591E-003 0.16043079994494E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000611560E+003 -.40242305048616E-016 0.27488503936919E-027
   6 -.26055530900247E+000 0.11912464168776E-007 0.11164210753731E-015 0.56747486497709E-028 -.13209803433555E-020 0.64887472996408E-031 -.18444402907533E-018 -.19180908790264E-024 -.75480112621077E-032 -.34412133554002E-040 0.39578841655681E-017 0.99999982964950E+000 -.51684843530208E-020 0.34512291899902E-022 0.15228522119884E-031 0.87922933344183E-026 0.93619828858554E-028 0.43388737851375E-023 0.63329162893977E-028 0.84596751548063E-025 -.11012867537369E-025 -.75328857655986E-025 0.15843803449880E-006 -.21743375590451E-034 0.30000004448691E+003 0.37060541883045E-001 -.46458380660227E+004 0.10000000000000E+001 0.26823044741564E+003 0.10000000000000E+006 0.64317884035357E-003 0.16043079756360E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000004448691E+003 -.85674876130941E-015 0.47079852030138E-024
   7 -.21428457821870E+000 0.47998410718716E-006 0.13596244535906E-014 0.13234820274153E-023 0.15858770464198E-013 0.11596302581630E-024 0.25268694370410E-011 0.22991468305096E-017 0.10801719734457E-024 0.40129754059083E-038 0.72949647285843E-016 0.99999637197974E+000 0.64612309757552E-013 -.56242085261688E-015 -.29275243628388E-024 -.16759726655428E-018 -.17407417578794E-020 -.76680659461455E-016 -.11834300510757E-020 -.15930193629925E-017 0.49795458383575E-022 0.92947982758693E-018 0.31480335468739E-005 -.12468387525004E-027 0.29999894402871E+003 0.29454546727500E-001 -.46458244369577E+004 0.99999999999991E+000 0.26823038605843E+003 0.10000000000000E+006 0.64317992654306E-003 0.16043048000421E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999894402871E+003 -.10432692136732E-013 0.21258511582095E-022
   8 -.17238028557933E+000 0.73252831072003E-005 0.88955542390808E-014 0.66899570640269E-021 0.19907068824741E-008 0.90061655457505E-020 0.96544308213739E-007 0.34561730384588E-012 0.46040955758954E-020 0.62677085709468E-032 0.10779321131705E-011 0.99997274561593E+000 0.14657157498789E-007 0.36788493644456E-009 0.30505782613843E-018 0.11886164959068E-012 0.12190596894251E-014 0.51893952372426E-010 0.85463975061602E-015 0.11556249782294E-011 0.60283307815114E-019 0.24757605244430E-012 0.19815486051137E-004 -.11335332356583E-021 0.29999222450558E+003 0.23066786905852E-001 -.46457307936753E+004 0.99999999999947E+000 0.26823108967984E+003 0.10000000000000E+006 0.64316829118226E-003 0.16042398442260E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999222450558E+003 0.18429203881987E-013 0.19643922557459E-022
   9 -.14023120686067E+000 0.41160639218588E-004 0.29691691963110E-013 0.26065317948495E-019 0.43229578660724E-006 0.44991947868727E-016 0.16317511512545E-004 0.77432983878722E-010 0.80362674451300E-018 0.49377698169561E-026 0.20756395955626E-009 0.99986299029879E+000 0.35058148119019E-005 0.72225719721258E-006 0.26838065887244E-015 0.39992654888954E-009 0.37459921499086E-011 0.11612234835160E-006 0.46289316988315E-011 0.68297735807727E-008 0.32683731002204E-017 0.60535081219768E-010 0.74747476702341E-004 -.11552124811488E-021 0.30013538939737E+003 0.18608312051214E-001 -.46451383944747E+004 0.99999999999937E+000 0.26826412040504E+003 0.10000000000000E+006 0.64272784092418E-003 0.16039063042686E+002 0.10000000000000E+001 0.10000000000000E+001 0.30013538939737E+003 0.96169244415038E-009 0.11828754565320E-021
  10 -.12066408468269E+000 0.10137370100668E-003 0.56188127335793E-013 0.17244980485945E-018 0.59147213630962E-005 0.67232725613921E-014 0.20151973694245E-003 0.10728385747822E-008 0.10159123344728E-016 0.96562723932566E-023 0.27079672683099E-008 0.99906178426211E+000 0.49863325156895E-004 0.21360939478092E-004 0.41547473051627E-014 0.13784494250232E-007 0.12567115438609E-009 0.35690349276666E-005 0.18087973889198E-009 0.27279420294876E-006 0.24565437494067E-016 0.86846968318144E-009 0.55432274442429E-003 -.92009486481238E-022 0.30140025934170E+003 0.16049741138966E-001 -.46414383567488E+004 0.99999999999989E+000 0.26852283659985E+003 0.10000000000000E+006 0.63993041395153E-003 0.16036553894119E+002 0.10000000000000E+001 0.10000000000000E+001 0.30140025934170E+003 0.15602953921361E-006 0.66435559361709E-021
