[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.00 300.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 0.00000000000000E+000 0.96855890040176E-038 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.96855890040176E-038 -.96855890040176E-038 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.42572028987537E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.45040349229498E+000 0.11647576833383E-020 -.11647576834224E-020 -.10608589028924E-035 -.27125413890483E-041 0.11204472883336E-038 0.10597384556033E-035 0.27125413785665E-041 0.95888969211890E-044 0.42996044925577E-042 0.11647576832541E-020 -.11647576832542E-020 -.17214217518317E-049 0.50793953729619E-067 0.17214217518317E-049 0.76069683818414E-048 0.24058773568854E-053 0.00000000000000E+000 0.15640135052299E-042 0.27511816367259E-034 -.10744272007440E-056 0.10744048077206E-056 0.11196511708677E-061 0.00000000000000E+000 -.41016900848093E-017 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.40082948699751E+000 0.13488352436687E-019 -.13488352449468E-019 -.16193794927617E-031 -.45029466565741E-038 0.65620528960015E-034 0.16128174606976E-031 0.43986278417090E-038 -.88447518578906E-040 0.69846819703769E-040 0.13488352423928E-019 -.13488352423939E-019 -.41892723584718E-039 0.16299234173355E-053 0.41892723833797E-039 0.16548307518153E-042 0.15319818638848E-042 -.77736147534581E-043 0.30844273629511E-040 0.54129534051991E-032 0.24352777885788E-074 -.23851974719853E-074 -.25040158296755E-076 0.00000000000000E+000 -.47499181055927E-016 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.35133582371940E+000 0.11205452633108E-018 -.11205452732022E-018 -.37079002022390E-028 -.28634141540659E-030 0.27156687701641E-028 0.99291694005578E-029 0.28291085106232E-030 -.24933404782541E-032 0.71363519199665E-038 0.11205452538820E-018 -.11205452538924E-018 -.10650819832204E-031 0.10752049310388E-043 0.10650819831892E-031 0.36702374419410E-038 0.60452099486789E-035 0.16042155038850E-041 0.29557073290107E-038 0.51992503974701E-030 -.61421587019920E-042 -.60463980535575E-042 0.60942783777747E-042 0.00000000000000E+000 -.39459916356750E-015 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.30209524458081E+000 0.70532629851903E-018 -.70532670650556E-018 -.19814242694834E-025 -.25125948409177E-024 0.26906345963642E-025 -.15862462719562E-034 0.24769931135294E-024 -.12398902056774E-027 0.73249475744900E-033 0.70532618010270E-018 -.70532618085242E-018 -.15590278137909E-025 0.13058293055146E-035 0.15590278147502E-025 0.12928423772935E-033 0.28242233129795E-028 0.22747869371205E-035 0.24030340053261E-035 0.42272882365632E-027 -.15115587100169E-033 -.14990921828134E-033 0.15053254464151E-033 0.00000000000000E+000 -.24836836785425E-014 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.25391632545035E+000 0.33275172843586E-017 -.33328494857873E-017 -.30096608766542E-023 -.37411250109620E-020 0.28930114972339E-021 -.45782948234264E-030 0.35111293220631E-020 -.25212350246526E-024 0.83265736860145E-029 0.33234342721556E-017 -.33264221391629E-017 -.28408915747470E-021 0.76610748513632E-030 0.28409631229610E-021 0.29394663749960E-025 0.17366349325544E-021 -.15171740006876E-021 0.15110660398152E-021 0.14078203355816E-020 -.15586961261680E-027 -.15486390497295E-027 0.15536675879488E-027 0.00000000000000E+000 -.98661728090162E-014 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.21065532537451E+000 0.10732071570509E-016 -.15532127781774E-016 -.12106771928844E-021 -.23391079664023E-017 -.16066022970799E-017 0.91855812435485E-017 -.51974292148686E-017 -.50189141070517E-022 0.15772442410134E-023 -.92700117310468E-016 -.18853304468741E-016 -.22170981162023E-018 0.48522218179986E-022 0.22174909370726E-018 0.90708911337465E-020 0.74850112999546E-017 -.11309493270944E-017 0.11202039213951E-017 0.52040395603556E-016 -.20455477419678E-023 -.20338192840244E-023 0.20396835129961E-023 0.00000000000000E+000 0.22084432345461E-010 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.18002614986763E+000 0.76654245843953E-017 -.30542740382231E-015 -.88875471503200E-021 -.40858269857493E-017 -.13131243363847E-015 0.33870337150435E-014 -.32500476364627E-014 -.33562438904543E-020 -.58756566909374E-024 -.42046026247623E-013 -.32032789475894E-014 -.91406042041329E-017 0.39497590782317E-018 0.87656414576247E-017 0.12306600864164E-016 0.32398254234688E-014 -.10256987943251E-015 0.10087397454886E-015 0.21000274162158E-013 -.48183148501572E-021 -.47915555437607E-021 0.48049351969589E-021 0.00000000000000E+000 0.85720841157385E-008 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.16293734892327E+000 -.13277196309321E-015 -.22938738104838E-014 -.48411748070070E-021 0.69549268712519E-015 -.14914880377035E-014 0.64578388251515E-013 -.63802212613277E-013 -.52305306104060E-019 -.10615019938097E-022 -.79046116283648E-012 -.61107925797323E-013 -.71516456220982E-016 0.33276460200996E-016 0.39099677473705E-016 0.40178908959314E-015 0.62690621836879E-013 -.15020400240281E-015 0.13092418230272E-015 0.39425721499100E-012 -.69861500172996E-020 -.69455177665765E-020 0.69658338919381E-020 0.00000000000000E+000 0.16065488039909E-006 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.15347360175569E+000 -.63399414838372E-015 -.65663900603545E-014 0.33116490558899E-020 0.15910300349064E-014 -.53885456258595E-014 0.28685500298919E-012 -.28332639227862E-012 -.23038884925778E-018 -.51540608446580E-022 -.34787689391489E-011 -.27164910300957E-012 -.36073110820015E-015 0.30538864654110E-015 0.63660763387670E-016 0.23339883172457E-014 0.27935659534154E-012 0.32805488273477E-014 -.33445629661360E-014 0.17344236994579E-011 -.26965020025196E-019 -.26794610960755E-019 0.26879815492976E-019 0.00000000000000E+000 0.70706313743589E-006 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  11 -.14734192228947E+000 -.16556980384170E-014 -.12417677618249E-013 0.93220574490258E-020 -.10624996666544E-014 -.10923115674170E-013 0.70685807730160E-012 -.69595248666428E-012 -.57602313965309E-018 -.14925504939019E-021 -.85436783287325E-011 -.66943039822677E-012 -.11820906788503E-014 0.11482537635243E-014 0.68059516751925E-016 0.67832300544498E-014 0.69012935600703E-012 0.14990215625134E-013 -.15116613076954E-013 0.42582076446862E-011 -.61137520378115E-019 -.60714049640291E-019 0.60925785009203E-019 0.00000000000000E+000 0.17368016440070E-005 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  12 -.14276361325596E+000 -.33444236423403E-014 -.19443399526442E-013 0.16411389609414E-019 -.11910856199517E-013 -.16936546799297E-013 0.13378254040954E-011 -.13117665221370E-011 -.11060164248543E-017 -.32278782584513E-021 -.16157001969991E-010 -.12667830820389E-011 -.28585668282145E-014 0.28965620542654E-014 0.55175641687516E-016 0.14457629822363E-013 0.13090186285936E-011 0.39544605696072E-013 -.39737661432296E-013 0.80503014202791E-011 -.10920348172235E-018 -.10837242135705E-018 0.10878795153970E-018 0.00000000000000E+000 0.32849947490854E-005 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  13 -.13904043268898E+000 -.58761786478688E-014 -.27500230811129E-013 0.23939078102135E-019 -.36321568840556E-013 -.22796453954344E-013 0.21964002964815E-011 -.21430173746679E-011 -.18342018619026E-017 -.58545162949880E-021 -.26535121606251E-010 -.20792496095675E-011 -.57191875439911E-014 0.58915896989906E-014 0.29449936329721E-016 0.26069063075765E-013 0.21529116857281E-011 0.82090727488906E-013 -.82340222937525E-013 0.13217844720304E-010 -.17147931159841E-018 -.17004346047563E-018 0.17076138603702E-018 0.00000000000000E+000 0.53959177231714E-005 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  14 -.13585935627197E+000 -.94540068339557E-014 -.36542536281872E-013 0.31474866492206E-019 -.80607203146992E-013 -.28108700589354E-013 0.32992922736472E-011 -.32008350139413E-011 -.27689044358471E-017 -.94727980739273E-021 -.39898315277358E-010 -.31224125285327E-011 -.10089192025760E-013 0.10473092521511E-013 -.55096628644718E-017 0.42339344145004E-013 0.32385102482419E-011 0.14857942167739E-012 -.14885834552826E-012 0.19870030220112E-010 -.24838829610753E-018 -.24609748472837E-018 0.24724289041795E-018 0.00000000000000E+000 0.81147155967543E-005 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  15 -.13305534336009E+000 -.14309593526954E-013 -.46595850636521E-013 0.38701691055585E-019 -.15210576495115E-012 -.32615376461527E-013 0.46619072421583E-011 -.44938709486612E-011 -.39120606319435E-017 -.14155067330862E-020 -.56454407882592E-010 -.44105905057208E-011 -.16279110210110E-013 0.16967777594396E-013 -.47052798339418E-016 0.63991480526639E-013 0.45810609869699E-011 0.24582553982611E-012 -.24608792747617E-012 0.28109916497503E-010 -.34031034824460E-018 -.33685070867578E-018 0.33858052846019E-018 0.00000000000000E+000 0.11484070533225E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  16 -.13052931401462E+000 -.20711227931651E-013 -.57761279233832E-013 0.45379776141789E-019 -.25928678677334E-012 -.36166029452382E-013 0.62989631771096E-011 -.60288324591596E-011 -.52602402104195E-017 -.19947759861306E-020 -.76406141001624E-010 -.59574149096463E-011 -.24581041930650E-013 0.25685175203441E-013 -.93509497355188E-016 0.91760997863155E-013 0.61949849445746E-011 0.38162735745160E-012 -.38180661049126E-012 0.38038081556686E-010 -.44760657459004E-018 -.44258779375678E-018 0.44509718417341E-018 0.00000000000000E+000 0.15545701399082E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  17 -.12821671221453E+000 -.28972742066015E-013 -.70218439134692E-013 0.51320388007028E-019 -.41186833767226E-012 -.38695469734064E-013 0.82248019995260E-011 -.78106972079484E-011 -.68055880328774E-017 -.26878317502937E-020 -.99954992225079E-010 -.77761169028698E-011 -.35266526150307E-013 0.36915188348382E-013 -.14417335835022E-015 0.12640371123421E-012 0.80942016852745E-011 0.56488364353327E-012 -.56489133466949E-012 0.49754510716574E-010 -.57062743752780E-018 -.56356780014824E-018 0.56709761883802E-018 0.00000000000000E+000 0.20341142984733E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  18 -.12607286622785E+000 -.39464668600430E-013 -.84229828733777E-013 0.56365641945810E-019 -.62095512909579E-012 -.40203868150790E-013 0.10453703723114E-010 -.98429086913545E-011 -.85368372128891E-017 -.34966990675251E-020 -.12730517095325E-009 -.98798141502099E-011 -.48586255315502E-013 0.50927618541385E-013 -.19927448487452E-015 0.16870420535603E-012 0.10292454516966E-010 0.80572556494685E-012 -.80545076504511E-012 0.63360571616462E-010 -.70972426078824E-018 -.70003303542610E-018 0.70487864810717E-018 0.00000000000000E+000 0.25912561851895E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  19 -.12406525180546E+000 -.52629220713695E-013 -.10014792189054E-012 0.60371714822443E-019 -.89922598403192E-012 -.40739690569202E-013 0.13000394415142E-010 -.12127716160197E-010 -.10440449814571E-016 -.44231286329536E-020 -.15867012679796E-009 -.12281977306070E-010 -.64772465832968E-013 0.67974567174349E-013 -.25995986424034E-015 0.21948925061877E-012 0.12803824396474E-010 0.11156932604340E-011 -.11150024007806E-011 0.78962238520515E-010 -.86527397347695E-018 -.85223033607202E-018 0.85875215477449E-018 0.00000000000000E+000 0.32304085763330E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
