[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.00 300.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.30000000000000E+003 0.20017259410860E+000 -.46458389572342E+004 0.10000000000000E+001 0.67057610286541E+003 0.10000000000000E+006 0.64317894549808E-003 0.16043080000000E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.42572028987537E-032 0.00000000000000E+000
   2 -.45428595221687E+000 0.22357308728547E-041 0.22284350228048E-038 0.10949572170167E-073 0.26934943782936E-031 -.45469659795218E-072 -.33005540316932E-032 0.10689289531976E-064 -.52403502255581E-063 -.71442146976833E-067 0.33273193078572E-037 0.10000000000000E+001 0.96377518173595E-079 -.34025954433619E-082 0.53810796114284E-090 0.70915349945056E-081 0.18504409045075E-092 -.13136062578311E-076 -.30424505229499E-058 -.55374486430564E-050 0.12251951604541E-032 -.13044773993806E-079 -.32900022769459E-016 0.68367938003926E-072 0.30000000000000E+003 0.18045614762376E+000 -.46458389572342E+004 0.10000000000000E+001 0.67057610286541E+003 0.10000000000000E+006 0.64317894549808E-003 0.16043080000000E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.42572199998930E-032 0.00000000000000E+000
   3 -.40857209925779E+000 0.74201801941288E-041 0.46585320378748E-038 0.26665946484344E-063 0.16919146067113E-031 0.18180679521165E-066 -.76186418326626E-033 0.19342531719212E-058 -.35387955743629E-059 -.14905788375360E-055 0.70201539219275E-037 0.10000000000000E+001 -.12273577806392E-068 0.11737978954740E-071 0.54669487630409E-090 0.54928264146627E-070 0.23546914716606E-081 0.15700294236827E-071 -.20017823361968E-054 -.36435002223539E-046 -.67813308163868E-032 0.61721393789680E-063 -.38845873427890E-016 0.95462920795933E-065 0.30000000000000E+003 0.16073982263546E+000 -.46458389572342E+004 0.10000000000000E+001 0.67057610286541E+003 0.10000000000000E+006 0.64317894549808E-003 0.16043080000000E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.42572386485981E-032 0.00000000000000E+000
   4 -.36285861487100E+000 0.94423660679020E-034 0.75582310287626E-031 0.25055299124567E-061 0.66276415724187E-031 0.79728707699974E-063 -.13780785547179E-032 0.10131088277469E-052 -.54277277656092E-053 -.14604243617125E-049 0.70418426264493E-033 0.10000000000000E+001 -.19908365655744E-059 -.43214553308155E-061 0.40919095930262E-078 0.13310812126156E-063 -.33044734071449E-074 -.10537957241580E-064 -.30166372655351E-048 -.54904738101296E-040 -.16991378907559E-031 0.25979458898731E-062 0.12678736445438E-014 -.23950510585809E-057 0.30000000000000E+003 0.14102378184046E+000 -.46458389572342E+004 0.10000000000000E+001 0.67057610286541E+003 0.10000000000000E+006 0.64317894549809E-003 0.16043080000000E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.58428022503945E-030 0.37690380765606E-036
   5 -.31714607975572E+000 0.99116449756378E-028 0.42374508016368E-025 -.39053985865756E-056 -.86893179188484E-030 -.29605748449307E-056 0.37186253268836E-030 -.30741117589613E-047 -.22883731030910E-048 -.22264410606977E-045 0.44993239850025E-027 0.10000000000001E+001 0.36271646794361E-048 0.11029705872164E-050 -.53538862271034E-066 -.11677263147196E-057 0.81239337625577E-060 0.15503958420497E-053 -.12506140958269E-043 -.22761950199640E-035 -.10525061370281E-030 0.99178729495130E-058 -.81437049773454E-013 0.52460465078990E-050 0.30000000000015E+003 0.12131258118568E+000 -.46458389572342E+004 0.10000000000000E+001 0.67057610286545E+003 0.10000000000000E+006 0.64317894549774E-003 0.16043079999999E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000015E+003 -.32518443045531E-024 0.37690380765420E-036
   6 -.27145503977133E+000 0.31783746183481E-021 0.50360799466138E-021 -.35294642257822E-048 0.65219003488428E-028 0.80703914506625E-052 0.11748067646586E-028 0.30400024236504E-042 -.90284781030966E-045 -.38680665002128E-042 0.62008128572247E-023 0.99999999999528E+000 -.12402630679864E-038 0.35692409140367E-042 0.94187583435386E-052 -.11123136492453E-045 -.43108966164944E-047 0.21684682818992E-043 -.49608321924385E-040 -.90290202389599E-032 -.29671801840319E-028 0.10512607166901E-044 0.47214921918615E-011 -.37600307436293E-043 0.29999999999187E+003 0.10165154977324E+000 -.46458389572304E+004 0.10000000000000E+001 0.67057610286305E+003 0.10000000000000E+006 0.64317894551682E-003 0.16043080000032E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999999187E+003 -.38647168864852E-020 0.75144970539795E-030
   7 -.22597514640311E+000 0.41025917391918E-013 0.60311393198600E-018 0.41994273052313E-036 -.23073828197805E-026 0.26438480923133E-039 -.39655611604520E-028 -.30370750031467E-032 0.96231035733504E-043 -.12351278326805E-039 0.87388520877523E-020 0.10000000002387E+001 -.45524737307837E-028 -.16700626769168E-030 -.64368577904243E-040 0.14858561732454E-034 -.52350310239366E-036 -.99224557217903E-032 -.45864618627905E-036 -.78222374478221E-029 -.42463837021795E-027 -.46077073461920E-034 -.23877143450971E-009 -.13178302995118E-035 0.30000000063376E+003 0.82276789918606E-001 -.46458389569311E+004 0.10000000000000E+001 0.67057610306864E+003 0.10000000000000E+006 0.64317894407353E-003 0.16043079998359E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000063376E+003 -.46283313646022E-017 0.25257166967615E-026
   8 -.18161158721806E+000 0.46398063116126E-009 0.12357114402452E-015 -.18216698606284E-029 -.16661683903343E-019 -.25858157518349E-031 -.94730400277014E-019 -.12824496609824E-023 -.42379550467231E-032 -.83111184614685E-038 0.21019199916436E-017 0.99999998152976E+000 -.21494746338142E-019 -.62879943103464E-023 -.18845988372993E-030 -.14482787421015E-025 -.69193815652663E-028 -.65069865783666E-024 -.18170181855830E-028 -.90034365068619E-025 0.42416713784935E-025 -.21637591579818E-025 0.18006260728485E-007 0.18741396245256E-028 0.30000005033319E+003 0.63930766108401E-001 -.46458387591823E+004 0.10000000000000E+001 0.67057611989559E+003 0.10000000000000E+006 0.64317884045957E-003 0.16043080071645E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000005033319E+003 -.94829385743886E-015 0.24155946370487E-023
   9 -.14090207420652E+000 0.15810616655974E-006 0.53712365035995E-014 0.37783734610571E-022 -.87973911326062E-014 -.29677734491964E-022 -.79895095113401E-013 -.68309132544153E-018 -.45938873873032E-026 -.64092899831577E-034 0.10151946326746E-015 0.99999796474002E+000 -.13350856080827E-013 -.14078515560442E-015 -.50323501750829E-024 -.21723765960951E-018 -.11123235814687E-020 -.14427462623572E-016 -.13943815979949E-021 -.61455769861221E-018 -.41549691327014E-024 -.13030028192305E-019 0.18771539128427E-005 0.12452187720135E-022 0.29999949561412E+003 0.48039634700382E-001 -.46458306181503E+004 0.99999999999983E+000 0.67057596024136E+003 0.10000000000000E+006 0.64317983520028E-003 0.16043075219165E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999949561412E+003 -.41215359951066E-013 0.22479813774724E-022
  10 -.10792229004057E+000 0.52550697995736E-005 0.59144678160317E-013 0.25219418166103E-018 0.81161133399824E-008 -.26716792072686E-017 0.74767694187590E-007 0.63186883869385E-012 0.43680975065971E-020 -.85189303929738E-027 0.19294222176196E-011 0.99997829564137E+000 0.12610675673795E-007 0.16601911575453E-009 0.67379352196974E-018 0.27454549250104E-012 0.13908502122026E-014 0.17652918621457E-010 0.16835552328363E-015 0.73354277638069E-012 0.30086628566817E-021 0.12278632496498E-013 0.16353607030384E-004 -.51666541518302E-022 0.29999477158509E+003 0.36116798284642E-001 -.46457506599788E+004 0.99999999999955E+000 0.67057737416734E+003 0.10000000000000E+006 0.64317114314631E-003 0.16042605786490E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999477158509E+003 0.90202623479984E-012 0.32917544772880E-022
