[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 -.12086836137801E-037 0.16816409666868E-037 0.26352286657398E-035 -.27010679772419E-035 0.00000000000000E+000 0.00000000000000E+000 0.65839311502188E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893455E-037 -.58482048893455E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.26352286657398E-035 0.26352286657398E-035 0.00000000000000E+000 0.00000000000000E+000 0.33102604673640E-030 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.45279575207739E+000 -.35219347070130E-029 0.12470362533924E-031 -.87369625735642E-029 -.35157040878791E-029 0.52826103525082E-030 0.82149412334008E-029 0.35094644039198E-029 0.70498617157462E-057 0.30595969266940E-051 0.13423729508818E-028 -.13429969181649E-028 0.13950536500934E-079 0.00000000000000E+000 0.40530007819693E-054 0.62396728311504E-032 0.15442007047654E-043 0.00000000000000E+000 0.43020201827888E-055 0.82543385897903E-048 0.77321831240371E-066 0.77321831239917E-066 -.77321831240144E-066 0.00000000000000E+000 0.11228141945467E-023 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.40560783553218E+000 -.15025274234565E-028 0.42601627003845E-031 -.36265659016808E-028 -.15035807470390E-028 -.34842139839149E-030 0.36667215302477E-028 0.14982672630621E-028 0.26801871739429E-055 0.11629334398367E-049 0.57854465410537E-028 -.57907600202798E-028 0.16343659670381E-078 0.00000000000000E+000 0.17275095690504E-052 0.53134792260571E-031 0.13150804833460E-042 0.00000000000000E+000 0.22718000426968E-053 0.59857230979763E-046 0.32094988880313E-065 0.32094988879129E-065 -.32094988879721E-065 0.00000000000000E+000 0.49065314575554E-023 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.35847465633027E+000 -.16494700597353E-028 0.20452706998117E-030 -.41153168197346E-028 -.16350306764275E-028 0.37286085066828E-029 0.37484692960306E-028 0.16290173546287E-028 0.31009685184644E-055 0.13454450798671E-049 0.62083027516187E-028 -.62143160682521E-028 0.18886595157502E-078 0.00000000000000E+000 0.22444704000493E-052 0.60133166333882E-031 0.14883076310110E-042 0.00000000000000E+000 0.52918061095591E-053 0.76663171133830E-046 0.36420418419223E-065 0.36420418417719E-065 -.36420418418471E-065 0.00000000000000E+000 0.51735035121857E-023 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.31151730855471E+000 -.34713570601408E-028 0.34713570606138E-028 -.84856533986768E-028 -.47382979191575E-031 0.11308016074470E-029 0.83773115292673E-028 0.65839297924246E-037 0.54590153136974E-055 0.23693234878325E-049 0.13386869583525E-027 -.13391607874860E-027 0.14526178687573E-072 0.00000000000000E+000 0.34955011653481E-046 0.47382913352153E-031 0.12463480045251E-042 0.00000000000000E+000 0.27104868322466E-054 0.47599477056258E-046 0.75097753114316E-065 0.75097753112248E-065 -.75097753113282E-065 0.00000000000000E+000 0.41383433670537E-023 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.26515000266500E+000 -.10771794149562E-026 0.10771794149609E-026 -.31927870608953E-027 -.44479696261744E-027 0.76407566899867E-027 0.00000000000000E+000 -.29170189167620E-036 0.85330790184676E-051 0.26518756764027E-049 -.12026976717296E-026 0.75790070881209E-027 0.69283763860272E-069 0.00000000000000E+000 0.62169178434303E-042 0.44479696256764E-027 0.34150696410997E-036 0.00000000000000E+000 0.23885117201946E-046 0.41945195561965E-038 0.28256058630469E-064 0.28256058626933E-064 -.28256058628701E-064 0.00000000000000E+000 0.96197246892049E-022 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.22064339992322E+000 -.27934734812571E-024 0.27934734812572E-024 -.16303941226301E-026 -.12538412314865E-024 0.12701453772154E-024 0.00000000000000E+000 -.20450272010560E-031 0.67805480656689E-046 0.21072288680529E-044 -.40310109924217E-024 0.27771695497664E-024 0.14013033298078E-066 0.00000000000000E+000 0.21922043912793E-038 0.12538412412222E-024 0.19476709289407E-031 0.00000000000000E+000 0.18979481600189E-041 0.33329924945322E-033 0.14428764850343E-063 0.14428764844729E-063 -.14428764847536E-063 0.00000000000000E+000 0.28064758814499E-019 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.18091198481308E+000 -.34756749418838E-020 0.34756749421315E-020 -.54826000432995E-023 -.15624810780735E-020 0.15681922528816E-020 -.70176994399060E-035 -.22857502808466E-024 0.10528033577274E-037 0.32717858931858E-036 -.50330163502369E-020 0.34702032269678E-020 -.10172552128104E-032 0.10172552128104E-032 0.15980423864446E-031 0.15624919631827E-020 0.21769016516771E-024 -.14902303653483E-031 0.29507025466263E-033 0.51734967214578E-025 0.48513445948901E-060 0.48513010526914E-060 -.48513228237907E-060 0.00000000000000E+000 0.34993200752132E-015 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.15012407900877E+000 -.11055641386772E-016 0.11055641520959E-016 -.91352952434508E-021 -.48020142084951E-017 0.88032960616372E-017 -.48107827810199E-028 -.40003686274873E-017 0.10733610643393E-030 0.33349892154422E-029 -.21099427490425E-016 0.11245222239245E-016 -.10803685534547E-026 0.10803685534538E-026 0.19352188083235E-024 0.49925083739522E-017 0.38098745713456E-017 -.17169532840355E-024 0.31047649823547E-026 0.52591122476924E-018 0.83204720202270E-058 0.78209159413261E-058 -.80706939807766E-058 0.00000000000000E+000 0.17567204876757E-011 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.13065266545951E+000 -.45929537580621E-015 0.45929557331138E-015 -.13631411628701E-019 -.50101914229592E-013 0.79772888866265E-014 -.74181854176580E-025 0.42124638478620E-013 0.18766112522123E-027 0.58204454250402E-026 -.10618191112994E-013 0.84767872334585E-015 -.77164390559134E-024 0.77164390558879E-024 0.60704579348180E-021 0.50474424102250E-013 -.42497148463264E-013 0.15886017128746E-016 -.15886440461895E-016 0.89661849513807E-015 0.30610836466182E-056 -.80527850664992E-057 -.11279025699842E-056 0.00000000000000E+000 0.69297051885364E-008 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
