[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.10342068519984E-001 0.00000000000000E+000 0.00000000000000E+000 0.13679865441157E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.40651061452297E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.12537108545811E-033 0.00000000000000E+000 0.44634866254547E+000 0.00000000000000E+000 0.30000000000000E+003 0.14707545629422E+000 -.18871969411586E+004 0.10000000000000E+001 0.41729090441154E+003 0.10000000000000E+006 0.79109775256726E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.13873608436531E-030 0.00000000000000E+000
   2 -.45279572081276E+000 0.10342068519984E-001 0.12453529736514E-032 0.16859359748170E-026 0.13679865441157E+000 0.12479455586613E-029 0.90141411006586E-027 0.67972310605665E-027 -.82512019722652E-037 -.17376353480323E-041 0.11989455008656E-026 0.40651061452297E+000 -.31550413722676E-030 -.24791581520391E-032 -.46689754301841E-037 0.11037366270656E-030 -.19410671950145E-034 -.17205815404581E-030 -.39658002614305E-034 0.24806516803001E-029 0.66883819256355E-027 0.14137224395340E-026 0.44634866254547E+000 -.15675670395228E-039 0.30000000000000E+003 0.13149517441994E+000 -.18871969411586E+004 0.10000000000000E+001 0.41729090441154E+003 0.10000000000000E+006 0.79109775256726E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.17119175165349E-023 0.00000000000000E+000
   3 -.40560777205638E+000 0.10342068519986E-001 0.16490004598942E-031 0.43799464947748E-026 0.13679865441158E+000 0.37962268853305E-029 -.93635681432828E-026 -.66992370857430E-026 -.74204630330230E-039 -.10904974346836E-040 -.11458327046237E-025 0.40651061452300E+000 -.45019748825780E-028 -.42678202492471E-030 -.16647569963005E-038 -.92274831336667E-029 -.93108336215804E-034 -.29762523663569E-028 -.40590428335141E-033 -.33948654270949E-027 0.58930420922354E-027 -.10160210829614E-025 0.44634866254543E+000 -.16811750198602E-039 0.30000000000000E+003 0.11592662265155E+000 -.18871969411587E+004 0.10000000000000E+001 0.41729090441153E+003 0.10000000000000E+006 0.79109775256722E-003 0.19732680338949E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.90826683950683E-023 0.46827215195974E-036
   4 -.35847455903064E+000 0.10342068519860E-001 -.43422862511387E-029 0.35844498150238E-025 0.13679865441125E+000 -.42896477982258E-025 0.36461033290496E-025 0.26732340779828E-025 -.88873954140763E-039 -.28437408226467E-040 0.60866704046793E-025 0.40651061452153E+000 -.19926515853848E-026 -.23384728335880E-028 -.86755118416198E-037 -.31792514922578E-028 -.96768634210363E-032 -.16409145965286E-026 -.19327068661391E-032 -.74005058459925E-027 0.35111287366549E-026 0.98884718481602E-025 0.44634866254736E+000 -.16740984822765E-039 0.29999999999979E+003 0.10039612779215E+000 -.18871969411522E+004 0.10000000000000E+001 0.41729090441136E+003 0.10000000000000E+006 0.79109775256926E-003 0.19732680338987E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999999979E+003 0.29022510100153E-023 0.46827215196188E-036
   5 -.31151717583534E+000 0.10342068523095E-001 -.29060668011891E-029 0.52221308387695E-025 0.13679865443675E+000 -.20190449964135E-026 -.14703557463156E-020 0.12250564624399E-022 -.24936875694577E-034 -.75638055268179E-038 0.46166614754551E-025 0.40651061461673E+000 -.10505565483395E-021 -.46850548242593E-024 -.36123660455712E-032 0.11486238202928E-022 -.12038688595436E-022 -.46942960327511E-022 -.23183321892440E-026 -.30159699425687E-024 -.18689101936284E-025 0.14245600843066E-024 0.44634866242343E+000 -.50212295344872E-037 0.30000000001774E+003 0.84992046871520E-001 -.18871969415651E+004 0.10000000000000E+001 0.41729090441785E+003 0.10000000000000E+006 0.79109775246089E-003 0.19732680337464E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000001774E+003 -.21627821288246E-023 0.00000000000000E+000
   6 -.26514983426446E+000 0.10342067837681E-001 -.71903021519239E-025 0.15157739327603E-024 0.13679865580341E+000 -.21127658636035E-021 -.16414844006307E-017 0.59090730527749E-019 -.23950937785169E-030 -.75542245480085E-033 0.15476284734148E-021 0.40651061847295E+000 -.15174809953367E-018 -.10600676060089E-020 -.11294174856495E-028 0.54046841044488E-019 -.56258588972664E-019 -.10753971239913E-018 -.17053886978516E-022 -.75733099080484E-021 -.11205010311469E-024 0.31923891807385E-024 0.44634865788595E+000 -.11946593153532E-033 0.30000000128566E+003 0.69992484120536E-001 -.18871969574220E+004 0.10000000000000E+001 0.41729090441824E+003 0.10000000000000E+006 0.79109775253446E-003 0.19732680422697E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000128566E+003 0.61179720900753E-022 0.00000000000000E+000
   7 -.22064320078746E+000 0.10341995661270E-001 -.36754242705125E-022 0.65246831646611E-024 0.13679891120008E+000 -.84691005899266E-019 -.91077096103278E-016 0.11998203773604E-016 -.34476587431872E-027 -.16280527494987E-028 0.64244741836650E-019 0.40651162365388E+000 -.16027655550486E-016 -.13816883500103E-018 -.25396289688978E-025 0.10929219246590E-016 -.11349558643482E-016 -.14146477763720E-016 -.42103139260187E-020 -.10446181540313E-018 -.50276563257961E-024 0.10310463884853E-023 0.44634746948477E+000 -.11909471431156E-031 0.30000018929419E+003 0.56088244014570E-001 -.18872013222433E+004 0.10000000000000E+001 0.41729093271314E+003 0.10000000000000E+006 0.79109737522398E-003 0.19732683377653E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000018929419E+003 0.28000017524904E-019 0.13548797256897E-029
   8 -.18091177303647E+000 0.10337855032331E-001 -.66345639870928E-020 0.14074493326856E-020 0.13680373144729E+000 -.17904102449250E-016 0.87834168929044E-010 0.10762640477800E-013 -.33041713748641E-024 -.18012108229891E-025 0.80201914024496E-015 0.40653103971398E+000 0.16315432990272E-011 0.12713254463253E-015 -.29922708931066E-022 0.54150414744036E-015 -.50553539596770E-015 0.16779163512944E-013 -.24724926659391E-018 0.72832120881209E-016 -.20482959730668E-023 0.12687265460008E-019 0.44632737371691E+000 0.10499987098124E-027 0.30000379158966E+003 0.44448247504821E-001 -.18872857497205E+004 0.10000000000000E+001 0.41728998517993E+003 0.10000000000000E+006 0.79110989377587E-003 0.19733232580084E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000379158966E+003 0.34995497439038E-015 0.33318306366878E-028
   9 -.15012388857087E+000 0.10293659834506E-001 -.33182168694661E-018 0.23388060744769E-018 0.13683106787045E+000 -.10065488585669E-014 0.18815985022965E-006 0.59062768823334E-010 -.31903995828734E-022 -.17576514550800E-023 0.25564366483136E-011 0.40663556353627E+000 0.10404872691442E-007 0.87284925659338E-011 -.27851645926547E-020 0.37765067492469E-011 -.46507397768974E-014 0.11613045668258E-008 -.46534090360272E-017 0.55437271870751E-011 -.66752821982841E-023 0.86816571295967E-016 0.44623950895308E+000 0.74123281966711E-025 0.30003829540050E+003 0.36150735352365E-001 -.18877185368009E+004 0.10000000000000E+001 0.41727610619731E+003 0.10000000000000E+006 0.79129497271614E-003 0.19740119214117E+002 0.10000000000000E+001 0.10000000000000E+001 0.30003829540050E+003 0.17568164611941E-011 0.17529437126844E-026
  10 -.13065252701374E+000 0.10169824900051E-001 -.97804049891969E-019 0.32672544011822E-017 0.13691060376928E+000 -.47789775859619E-014 0.68159100125599E-005 0.29163570520571E-008 -.49885831292830E-021 -.27452908256703E-022 0.10554724737020E-009 0.40681061656751E+000 0.52918469710538E-006 0.15337611617320E-008 -.37096456759778E-019 0.77779843871877E-009 0.54130034834183E-012 0.20263612627268E-006 0.13605157086507E-015 0.15680961787071E-008 -.17839909897171E-022 0.45098955563849E-014 0.44610140013022E+000 0.12336144918407E-023 0.30033559931467E+003 0.31242746727499E-001 -.18881379387383E+004 0.10000000000000E+001 0.41727784248859E+003 0.10000000000000E+006 0.79133281710915E-003 0.19760624457346E+002 0.10000000000000E+001 0.10000000000000E+001 0.30033559931467E+003 0.69299991735965E-008 0.13629336690772E-025
