[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 -.12086836137801E-037 0.16816409666868E-037 0.00000000000000E+000 -.65839311502186E-037 0.00000000000000E+000 0.00000000000000E+000 0.65839311502186E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893454E-037 -.58482048893454E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.17447029508001E-031 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.46090874988443E+000 -.86615090088515E-020 0.86615090162817E-020 -.66303331790142E-022 -.36401486037917E-020 0.90776379553736E-020 -.74519700336751E-031 -.53712388217544E-020 0.65399037444608E-037 0.20320454397451E-035 -.17863046731147E-019 0.88510707392960E-020 -.20636879240241E-027 0.20636879239810E-027 0.52679408119561E-025 0.38959610052357E-020 0.51154263365707E-020 -.52902951753562E-025 0.31319646926238E-027 0.32057507331601E-024 0.62332502698022E-059 0.54736304493534E-059 -.58534403595778E-059 0.00000000000000E+000 0.14628320653993E-014 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.42500334135820E+000 -.80460613511391E-019 0.80460613809770E-019 -.29426635562838E-021 -.12303153401994E-019 0.51821697034051E-018 -.60695859654518E-029 -.50562388948053E-018 0.56885344046151E-035 0.17661364820245E-033 -.62222760073744E-018 0.10424973474534E-018 -.93286088090971E-026 0.93286088086355E-026 0.43435535466775E-023 0.36382235256784E-019 0.48154479364730E-018 -.43905598730220E-023 0.61136032784813E-025 0.27576191077186E-022 0.42953344219695E-058 0.77269617895734E-059 -.25340153004634E-058 0.00000000000000E+000 0.63780700243394E-013 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.39548190099161E+000 -.41905454055307E-018 0.41905454338932E-018 -.63316173072511E-021 0.49049390359233E-018 0.13805771707156E-016 -.15751690287119E-027 -.14295704469207E-016 0.15471280097837E-033 0.47922193604297E-032 -.14905848720894E-016 0.10992591435024E-017 -.10098866938704E-024 0.10098866937175E-024 0.72535555395020E-022 0.19027374115256E-018 0.13614936208264E-016 -.75048056727062E-022 0.31272697610185E-023 0.72546699642012E-021 0.24662418770740E-057 -.15278880416341E-057 -.46917691771996E-058 0.00000000000000E+000 0.16156470255734E-011 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.37322489552083E+000 -.20025421096783E-016 -.41560435289854E-019 -.11972390095130E-020 -.17300787650215E-015 -.27085532896783E-018 0.14134421317356E-015 0.31927086026034E-016 0.11524856987776E-029 0.47615527663528E-024 -.26837105900239E-016 -.11425734335675E-015 -.83678132932572E-020 0.83650818319863E-020 0.28676955806849E-020 0.15999050253917E-015 -.18912312238465E-016 -.99491019552880E-021 0.67066688093794E-021 0.70210013196601E-020 0.10482711791345E-056 -.93104917851762E-057 -.58611000308440E-058 0.00000000000000E+000 0.46901363138723E-010 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.35686837089179E+000 -.97427101751185E-016 -.36360245848746E-018 -.22308209493934E-020 -.87562130867618E-015 -.11776203851536E-016 0.71708718219337E-015 0.17021750202408E-015 -.17344890542180E-027 -.96720431782990E-028 -.12145561319019E-015 -.58401415432226E-015 -.95544256792536E-019 0.95513811741941E-019 0.37249640484730E-019 0.81331829467992E-015 -.10795216190378E-015 -.92036834839995E-020 0.94070176748346E-020 0.33004436383196E-019 0.31288308476102E-056 -.30060973208245E-056 -.61366763392864E-058 0.00000000000000E+000 0.23618662768672E-009 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.34446001396652E+000 -.30493128280611E-015 -.10820286801242E-017 -.37153193502138E-020 -.27566815603764E-014 -.32371122599726E-016 0.22813693913503E-014 0.50715464173050E-015 -.12928753282855E-026 0.22632032518577E-028 -.38817347550065E-015 -.18615560195192E-014 -.53988327222864E-018 0.53970659580377E-018 0.24605177612464E-018 0.25645786547952E-014 -.31530495263012E-015 -.56470426650389E-019 0.64400556365485E-019 0.97028748461255E-019 0.73020297437358E-056 -.71855324967448E-056 -.58248623495538E-058 0.00000000000000E+000 0.74872912473415E-009 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.33453134758341E+000 -.73326594370225E-015 -.25252591319344E-017 -.53928545410778E-020 -.66246655123463E-014 -.68036826345832E-016 0.55303529619744E-014 0.11603768136021E-014 -.42523142174412E-026 -.12487813042507E-027 -.95014967935887E-015 -.45146109637470E-014 -.20129179032708E-017 0.20122311647830E-017 0.10442545859239E-017 0.61674905729903E-014 -.70427971728812E-015 -.24226417383977E-018 0.28530732697518E-018 0.21006662716761E-018 0.14568988550443E-055 -.14465678436379E-055 -.51655057032157E-058 0.00000000000000E+000 0.18104796058613E-008 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.32620627933638E+000 -.14903176919505E-014 -.50479904691599E-017 -.69367040778424E-020 -.13426988436285E-013 -.12044574464898E-015 0.11288360590222E-013 0.22534272040804E-014 -.10946305629263E-025 -.50024319703422E-027 -.19619186574141E-014 -.92125625273396E-014 -.57650292250741E-017 0.57629596306889E-017 0.33241983698954E-017 0.12505468526302E-013 -.13353390591683E-014 -.80572412035852E-018 0.95747215889984E-018 0.36304638957105E-018 0.26223955526786E-055 -.26137138215175E-055 -.43408655805119E-058 0.00000000000000E+000 0.36893333121661E-008 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.31898432310205E+000 -.27016806566700E-014 -.90952783625907E-017 -.80711316015771E-020 -.24250530731909E-013 -.18963585965883E-015 0.20507646296714E-013 0.39190179874012E-014 -.23838082579410E-025 -.12473221313582E-026 -.36080256712987E-014 -.16725069554452E-013 -.13799897712902E-016 0.13794648714788E-016 0.86874207594356E-017 0.22591605581570E-013 -.22690592789546E-014 -.22385130894415E-017 0.26609251246696E-017 0.51096366420156E-018 0.43928115649686E-055 -.43858403881807E-055 -.34855883939405E-058 0.00000000000000E+000 0.66951313536311E-008 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
