[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.10342068519984E-001 0.00000000000000E+000 0.00000000000000E+000 0.13679865441157E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.40651061452297E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.44301941125599E-034 0.00000000000000E+000 0.44634866254547E+000 0.00000000000000E+000 0.30000000000000E+003 0.71259557294336E-001 -.18871969411586E+004 0.10000000000000E+001 0.20864545220038E+003 0.10000000000000E+006 0.79109775256726E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.37742850122899E-031 0.46827215190810E-036
   2 -.45068046858725E+000 0.10342068519727E-001 0.19034675541771E-032 0.24999637209885E-026 0.13679865441265E+000 0.18566837466909E-029 0.14176794034523E-019 0.63592656149091E-023 -.27915708002288E-037 -.90434231364508E-039 0.13176983159886E-025 0.40651061452652E+000 0.12600827013437E-020 0.87701839498691E-023 -.92289563758704E-033 0.26204176689648E-023 -.82958959264035E-024 0.60736381950371E-021 -.23523434544177E-028 0.28647075003014E-023 0.44313851737442E-027 0.16889764110559E-025 0.44634866254110E+000 0.19369113235312E-036 0.30000000000086E+003 0.63124156280459E-001 -.18871969411737E+004 0.10000000000000E+001 0.20864545220038E+003 0.10000000000000E+006 0.79109775256544E-003 0.19732680338961E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000086E+003 0.18872015239099E-023 0.46827215190810E-036
   3 -.40142429602583E+000 0.10342068483993E-001 -.27702705428601E-031 -.12006279037326E-025 0.13679865452592E+000 -.79081442586115E-029 0.23056873253735E-017 0.12788973342976E-020 -.66549435371520E-036 -.21786814191122E-037 0.31538882930901E-024 0.40651061492634E+000 0.21934029447679E-018 0.19032234152317E-020 -.14792940298654E-029 0.70614235268038E-021 -.31062057577634E-021 0.13230337851687E-018 -.12689057888630E-025 0.66466881091026E-021 -.63397336091484E-026 0.22118707607297E-025 0.44634866206374E+000 0.68881934826452E-034 0.30000000009046E+003 0.55017030288689E-001 -.18871969428857E+004 0.10000000000000E+001 0.20864545220419E+003 0.10000000000000E+006 0.79109775242758E-003 0.19732680341416E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000009046E+003 0.13758951672461E-024 0.00000000000000E+000
   4 -.35244736973846E+000 0.10342065524816E-001 -.64444859265469E-027 -.17701062903671E-026 0.13679866211428E+000 -.75743935897010E-026 0.11013218439478E-015 0.88281580979356E-019 -.27778400872768E-033 -.12996227595668E-034 0.17593571627459E-022 0.40651064374800E+000 0.11233792967469E-016 0.12288644340432E-018 -.26348730025855E-027 0.63368730339133E-019 -.37428760055512E-019 0.86073499451832E-017 -.25286354657368E-023 0.46528620759081E-019 -.16839880593606E-025 -.12444192778379E-025 0.44634862861291E+000 0.61412755692176E-032 0.30000000586331E+003 0.47012154714718E-001 -.18871970674327E+004 0.10000000000000E+001 0.20864545236859E+003 0.10000000000000E+006 0.79109774701313E-003 0.19732680586074E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000586331E+003 0.76752626409054E-023 0.84837574779593E-030
   5 -.30443015296074E+000 0.10341927959934E-001 -.43236021536624E-023 0.72449075081933E-025 0.13679890431054E+000 -.12983011863112E-019 0.21193316707759E-014 0.29926461749354E-017 -.76860801786492E-030 -.40100511428007E-031 0.95159371090333E-020 0.40651160218555E+000 0.20898627306671E-015 0.29116955868164E-017 -.11706687188712E-025 0.25760126875623E-017 -.19607165432668E-017 0.20731054741530E-015 -.26385804017451E-021 0.12245323862480E-017 -.51695570401825E-025 0.16362497463383E-023 0.44634756554397E+000 0.10257116012631E-030 0.30000018593062E+003 0.39260087259985E-001 -.18872012296460E+004 0.10000000000000E+001 0.20864544819048E+003 0.10000000000000E+006 0.79109787906217E-003 0.19732695723866E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000018593062E+003 0.41483797304055E-020 0.34873886710989E-029
   6 -.25851648694631E+000 0.10338843212539E-001 -.61942418935671E-021 0.33338650716597E-022 0.13680224965715E+000 -.17200410997913E-017 0.66727327796162E-010 0.79099664477078E-014 -.99780232911504E-027 -.54435186422222E-028 0.12588868967280E-015 0.40652517804626E+000 0.13606699330372E-011 0.77540634078019E-016 -.21150928832092E-023 0.81918360118487E-016 -.65298086239560E-016 0.67992238934050E-014 -.23990612359188E-019 0.26809490783862E-016 -.81699167031833E-023 0.10239492207239E-019 0.44633372901595E+000 -.10874022922806E-026 0.30000271624654E+003 0.32116412821464E-001 -.18872602476947E+004 0.10000000000000E+001 0.20864509002556E+003 0.10000000000000E+006 0.79110796229225E-003 0.19733113669423E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000271624654E+003 0.54931142230822E-016 0.11098252035076E-027
   7 -.21787205092551E+000 0.10309680505922E-001 -.40931986338676E-019 0.42465953114177E-020 0.13682031292001E+000 -.12030696640533E-015 0.86316955823270E-007 0.24990325448089E-010 -.20975886770657E-024 -.11488099253014E-025 0.23464483713886E-012 0.40659623371416E+000 0.47469245043286E-008 0.42382172771703E-011 -.30667834964621E-021 0.10736733798061E-011 -.13586507390661E-014 0.41448117448499E-009 -.76909333530741E-018 0.12224560279898E-011 -.18694854233894E-020 0.38144264092274E-016 0.44627368134978E+000 -.33984435495562E-024 0.30002370842662E+003 0.26522568684583E-001 -.18875579122943E+004 0.10000000000000E+001 0.20864053063360E+003 0.10000000000000E+006 0.79123389923303E-003 0.19737636006261E+002 0.10000000000000E+001 0.10000000000000E+001 0.30002370842662E+003 0.12129047654630E-012 0.49804117989718E-026
   8 -.19074659507789E+000 0.10224269275648E-001 -.10124484143044E-017 0.63085901514168E-019 0.13687196995185E+000 -.29294461618670E-014 0.33393418709127E-005 0.13298082042929E-008 -.39529909822000E-023 -.20901128713613E-024 0.10388650332298E-010 0.40672821907759E+000 0.26037642700361E-006 0.83905976931597E-009 -.10950096245823E-019 0.25091940640742E-009 0.12026700007036E-013 0.81446907279198E-007 -.34018852460471E-017 0.39769521071499E-009 -.35627813292104E-019 0.21384448347507E-014 0.44617185770182E+000 -.45277719026172E-023 0.30019138068951E+003 0.23133823294562E-001 -.18879427198592E+004 0.10000000000000E+001 0.20863719225287E+003 0.10000000000000E+006 0.79135376785065E-003 0.19751658488354E+002 0.10000000000000E+001 0.10000000000000E+001 0.30019138068951E+003 0.17345662899179E-009 0.22904720901374E-025
   9 -.17682267760407E+000 0.10132366545632E-001 -.23926028649565E-017 0.22045203801187E-018 0.13695084689650E+000 -.68810401410323E-015 0.17687088977945E-004 0.80649865987491E-008 -.10594162395284E-021 -.60732070300525E-023 0.58284261843761E-010 0.40678715735277E+000 0.15993163209108E-005 0.85494607044368E-008 -.25030169108302E-018 0.27172803619397E-008 0.32215844121938E-012 0.82752410438797E-006 0.18613378794169E-016 0.48447344554472E-008 -.13810701357362E-018 0.13255246640427E-013 0.44610949104061E+000 -.11039155591604E-022 0.30066125326092E+003 0.21369470803021E-001 -.18876446131672E+004 0.10000000000000E+001 0.20866380816742E+003 0.10000000000000E+006 0.79075435087530E-003 0.19767590178301E+002 0.10000000000000E+001 0.10000000000000E+001 0.30066125326092E+003 0.48604841380155E-008 0.33742860926609E-025
  10 -.16936073941251E+000 0.10064958217929E-001 0.49982279560084E-017 0.41358776955282E-018 0.13702583414871E+000 0.13982152857740E-013 0.40745653804182E-004 0.19885117701953E-007 -.60355296596952E-021 -.34839541709530E-022 0.13824123224511E-009 0.40675716663677E+000 0.39686213565949E-005 0.27307731311553E-007 -.98730430520937E-018 0.89443167509171E-008 0.16842584300934E-011 0.26394208163587E-005 0.13162698381001E-015 0.16907926079362E-007 -.27230149559618E-018 0.33042245107151E-013 0.44610461411556E+000 -.15057931946696E-022 0.30128047876200E+003 0.20334033811851E-001 -.18868072021740E+004 0.10000000000000E+001 0.20871727280749E+003 0.10000000000000E+006 0.78962402012451E-003 0.19779987776867E+002 0.10000000000000E+001 0.10000000000000E+001 0.30128047876200E+003 0.32953122724293E-007 0.39505800352988E-025
