[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 -.12086836137801E-037 0.16816409666868E-037 0.00000000000000E+000 -.65839311502186E-037 0.00000000000000E+000 0.00000000000000E+000 0.65839311502186E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893454E-037 -.58482048893454E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.17447029508001E-031 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.45352203711379E+000 -.12088713294128E-037 -.38536544939945E-040 -.24490924301958E-041 -.82701124926872E-037 0.51084132959426E-041 0.00000000000000E+000 0.82698465659457E-037 -.21133578214252E-041 0.62701259837020E-047 0.58482075023613E-037 -.58482620886025E-037 0.23308425824822E-041 0.12031217471036E-071 -.21749404543415E-042 0.54586542629510E-042 0.13509004780381E-053 -.12443143794141E-074 0.38477167333382E-075 0.63172758117518E-068 0.21674860420687E-078 0.21674860420687E-078 -.21674860420687E-078 0.00000000000000E+000 -.13982315946902E-031 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.40705215002753E+000 -.21624552539139E-034 0.30319940343115E-037 -.53341042418618E-034 -.21665550807919E-034 0.17513561299524E-035 0.51590435749734E-034 0.21664801415339E-034 0.53451031641556E-069 0.23074740274687E-063 0.83376745258640E-034 -.83377494582732E-034 -.17044951355458E-070 0.17044007528983E-070 0.12611405308357E-062 0.74932409215032E-039 0.18544172712374E-050 -.11134804101153E-066 0.69626491720460E-070 0.11904140794202E-061 0.47206646994066E-071 0.47206646994066E-071 -.47206646994066E-071 0.00000000000000E+000 0.69511240575508E-029 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.36060856022839E+000 -.45204095929710E-034 0.26173492496047E-037 -.11085332373107E-033 -.45251186948541E-034 0.16018954290858E-035 0.10925412421482E-033 0.45248491178971E-034 0.40602123454545E-068 0.17579052140725E-062 0.17497122541818E-033 -.17497392104448E-033 -.10103472830587E-069 0.10102791225750E-069 0.71976930651509E-066 0.26956263005086E-038 0.66711000229667E-050 -.71978127225086E-066 0.88922209819210E-069 0.15405579249951E-060 0.98104826684524E-071 0.98104826684524E-071 -.98104826684524E-071 0.00000000000000E+000 0.14648257008942E-028 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.31425310344177E+000 -.70691365311618E-034 -.15593810301742E-033 -.16683397304208E-033 -.22670556960290E-033 -.17376508423740E-034 0.18421567080013E-033 0.22670038098722E-033 -.35135088950097E-039 0.10424237296471E-044 0.28042401158789E-033 -.28042884813509E-033 0.34449144676898E-039 0.49342964710378E-068 0.68578991816448E-041 0.48365476994189E-038 0.11969423773529E-049 -.25838349022657E-065 0.29673295147610E-068 0.49594054188249E-060 0.14764751734514E-070 0.14764751734514E-070 -.14764751734514E-070 0.00000000000000E+000 0.55839916276883E-028 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.26825156652164E+000 -.28577241240561E-033 -.95633968930660E-029 -.20651781789967E-033 -.95636827931797E-029 -.15383899034694E-032 0.17449683722224E-032 0.95636827628543E-029 0.21602637256083E-098 0.42177951632523E-091 0.16658146720443E-032 -.16658146720443E-032 -.36144746792862E-057 0.58041095779072E-058 0.79994443816183E-057 0.57132427949339E-037 -.57132427949339E-037 -.14348059067801E-056 0.93827691094834E-057 -.90701806818202E-062 0.18279442117167E-070 0.18279442117167E-070 -.18279442117167E-070 0.00000000000000E+000 0.19651880917378E-023 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.22358904574275E+000 -.12359240084573E-026 -.30600455633047E-024 -.77930855541272E-028 -.30779863701542E-024 -.74853346589510E-027 0.12942268697581E-026 0.30733087544134E-024 -.12519408896681E-035 0.37180113847193E-041 -.33152590743812E-027 -.13623469116152E-027 0.12422098303069E-035 0.10775510312501E-043 0.97256522904525E-038 0.55814228038230E-027 -.90381681791934E-028 0.14393547679882E-031 -.14393556632281E-031 0.13591020593442E-037 0.68968771900229E-065 0.68968771900059E-065 -.68968771900144E-065 0.00000000000000E+000 0.63321752572560E-019 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.18282101163192E+000 -.17467725672432E-020 -.28637075251220E-020 -.36048078131873E-023 -.56789577977061E-020 -.20744059252282E-020 0.26997655914468E-020 0.50572029538393E-020 0.24742667915029E-037 0.10015919551797E-031 0.33482509873787E-021 -.95659631100996E-021 -.10018357073312E-031 0.19181083452162E-031 -.50719883041370E-033 0.10683971477335E-020 -.44664231843309E-021 0.82093175929162E-025 -.82093235372110E-025 0.81915359722945E-026 0.31897634941496E-060 0.31897529534557E-060 -.31897582238026E-060 0.00000000000000E+000 0.12990736094307E-014 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.15007388468589E+000 -.15304584277643E-016 -.20424774953022E-017 -.91364862731729E-021 -.11752418902853E-015 -.24461240844096E-016 0.33035383631906E-016 0.10895095616104E-015 -.23869985509973E-025 -.25062242485732E-026 0.79575123768639E-017 -.17548605907095E-016 -.33740648006511E-023 0.39006215376234E-023 -.20771025095736E-025 0.10033987441363E-015 -.91766642224226E-016 0.20354857549542E-019 -.20355017410246E-019 0.50893059057059E-018 -.86369573649273E-032 0.86369573614939E-032 0.17166926575110E-041 0.00000000000000E+000 0.17986084893079E-010 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.12845189500660E+000 -.38265974841409E-014 -.25059190359352E-015 -.18331808387272E-019 -.99918639068185E-013 -.68992002310104E-014 0.23847171371351E-013 0.82970476482735E-013 -.79301747555123E-022 -.16959431196790E-022 -.15420551711055E-014 -.19186960195109E-013 -.16364477874367E-018 0.21581494679825E-018 -.44992684961470E-021 0.96641464464150E-013 -.79693359636971E-013 0.33250671241699E-016 -.33249393579643E-016 0.18904281798661E-014 -.24563278214662E-030 0.24563277455410E-030 0.37962567179185E-038 0.00000000000000E+000 0.15799598233100E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  11 -.11677374144108E+000 -.13084888071713E-012 -.46373746734825E-014 -.13313539782148E-018 -.27827569592563E-011 -.14894462360375E-012 0.96483901207727E-012 0.19668011098215E-011 -.58952359575890E-020 0.12397439509689E-020 -.19299033924924E-012 -.79286075757249E-012 -.37623702980239E-016 0.63288882098877E-016 -.48767333770967E-019 0.26869564835378E-011 -.18710279453003E-011 0.13039104350318E-014 -.13025810629519E-014 0.84947144041877E-013 -.12170400012129E-029 0.12170397339112E-029 0.13365086063811E-036 0.00000000000000E+000 0.51417808833366E-006 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  12 -.11084612691198E+000 -.75008430700892E-012 -.24636896756571E-013 -.51210417946431E-018 -.13551018686528E-010 -.74059387954600E-012 0.56877547216699E-011 0.86029655863623E-011 -.63420183357038E-019 0.52237108878881E-020 -.12569885956839E-011 -.46841589158561E-011 -.43585435294331E-015 0.91815331833771E-015 -.74617651261994E-018 0.13019111350022E-010 -.80715651858172E-011 0.83316962998686E-014 -.83033654429737E-014 0.49653159551450E-012 -.26790542460249E-029 0.26790528452306E-029 0.70039716056449E-036 0.00000000000000E+000 0.27248054879645E-005 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  13 -.10731749330474E+000 -.20023296482500E-011 -.65632879701231E-013 -.12254167362364E-017 -.32680799907403E-010 -.17500805263961E-011 0.15335554162845E-010 0.19091390774534E-010 -.25260047098307E-018 0.50621181282336E-020 -.36355684560908E-011 -.12626100923133E-010 -.15892861576831E-014 0.40535946413929E-014 -.36700830184649E-017 0.31284316605535E-010 -.17697484983872E-010 0.24168704010966E-013 -.24013876808613E-013 0.13360338561470E-011 -.42898863860239E-029 0.42898828336116E-029 0.17762061070866E-035 0.00000000000000E+000 0.69444284236111E-005 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  14 -.10472410159479E+000 -.39836331981350E-011 -.12932364560710E-012 -.23482126075490E-017 -.60479942264714E-010 -.30438562234913E-011 0.30672827124562E-010 0.32839940781044E-010 -.64066265372274E-018 0.75952498167071E-020 -.77703135752162E-011 -.25229255373259E-010 -.37180317378143E-014 0.11375940808127E-013 -.10655303868637E-016 0.57740686972215E-010 -.30108675752307E-010 0.51748587189998E-013 -.51242538591393E-013 0.26794495053353E-011 -.60890532447019E-029 0.60890464019503E-029 0.34213758057792E-035 0.00000000000000E+000 0.13404714984095E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
