[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.10342068519984E-001 0.00000000000000E+000 0.00000000000000E+000 0.13679865441157E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.40651061452297E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.29130755695789E-092 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.44634866254547E+000 0.00000000000000E+000 0.30000000000000E+003 0.27000837970279E-001 -.18871969411586E+004 0.10000000000000E+001 0.83875375512549E+002 0.10000000000000E+006 0.79109775256726E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.17447029508002E-031 0.20052907281621E-028
   2 -.44986895818054E+000 0.10341598812708E-001 0.70810187904938E-028 0.32467323456044E-026 0.13679907060547E+000 0.12158699834201E-025 0.53013288991905E-012 0.38224763047797E-016 -.12988433133102E-034 -.32468002937437E-036 0.31327040469185E-019 0.40651234626819E+000 0.75414336313414E-014 0.18903835803922E-019 -.70381164308974E-035 0.11350548178921E-020 0.57637366146498E-030 0.13647957406262E-017 -.93073800292942E-031 0.14897102212813E-021 -.36409870733317E-037 0.51889512441687E-022 0.44634698431310E+000 0.10942794016770E-038 0.30000032950312E+003 0.23701764925760E-001 -.18872044602219E+004 0.10000000000000E+001 0.83875375512549E+002 0.10000000000000E+006 0.79109956797454E-003 0.19732747294725E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000032950312E+003 0.48991184995188E-019 0.20052907281621E-028
   3 -.40056110213869E+000 0.10338239900499E-001 0.42494388707867E-025 0.24134035128071E-024 0.13680157432272E+000 0.74629304556852E-023 0.24784017990793E-009 0.36181016503781E-013 -.11749790212937E-033 -.26867192648835E-035 0.19585796410294E-016 0.40652291987387E+000 0.76549513412040E-011 0.79441270277549E-015 -.28289428386858E-033 0.89612460756826E-016 0.16044064747189E-023 0.55764073672355E-013 -.33538270664778E-028 0.42487969404780E-016 -.22636815419008E-036 0.55420580069061E-019 0.44633726564732E+000 0.70897436777184E-036 0.30000240528699E+003 0.20499514603652E-001 -.18872502801290E+004 0.10000000000000E+001 0.83875212121926E+002 0.10000000000000E+006 0.79111401006762E-003 0.19733244068994E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000240528699E+003 0.29816914608360E-016 0.11537548685891E-028
   4 -.35335001310947E+000 0.10321112366262E-001 0.72738552850674E-023 0.87739235678994E-023 0.13681278695265E+000 0.15442803084253E-020 0.34485759276958E-007 0.82226904162019E-011 -.72884048388927E-033 -.12532023908864E-034 0.33448976915305E-014 0.40656781581790E+000 0.18241734235374E-008 0.17105866899393E-011 -.12853638635211E-029 0.26552569152925E-012 0.27785716172622E-019 0.11834037591783E-009 0.38748398039653E-025 0.24292553977021E-012 -.78850334937417E-036 0.13668641652370E-016 0.44629824842447E+000 0.12241131494081E-033 0.30001435523771E+003 0.17517552746001E-001 -.18874402056340E+004 0.10000000000000E+001 0.83874189181491E+002 0.10000000000000E+006 0.79118769768073E-003 0.19735868209078E+002 0.10000000000000E+001 0.10000000000000E+001 0.30001435523771E+003 0.55531736313223E-014 0.21766067890691E-025
   5 -.31068914090727E+000 0.10263100149503E-001 0.51296708033922E-021 0.14968780464885E-021 0.13685022627524E+000 0.52748189464191E-018 0.14901193065678E-005 0.49649468284115E-009 0.18347564657946E-030 0.32574823068793E-032 0.16643506551738E-012 0.40667526234015E+000 0.11370543868811E-006 0.41622609102733E-009 -.70111543952822E-026 0.77280357219971E-010 0.43930022109092E-016 0.28560484890039E-007 0.12751202707272E-021 0.10082691225182E-009 -.80745814763187E-036 0.87180187020574E-015 0.44620977775888E+000 0.45264134095003E-032 0.30010697219117E+003 0.15053837608037E-001 -.18878088664905E+004 0.10000000000000E+001 0.83872265233986E+002 0.10000000000000E+006 0.79131805698643E-003 0.19745213603329E+002 0.10000000000000E+001 0.10000000000000E+001 0.30010697219117E+003 0.11676422532591E-011 0.14522464281112E-023
   6 -.27910777784894E+000 0.10158805195408E-001 0.27465008402959E-019 0.98139194177789E-021 0.13693950054413E+000 0.70181975437545E-016 0.16777444854172E-004 0.68210760666111E-008 0.22628255487857E-026 0.11794325060625E-027 0.20396997394239E-011 0.40674632484843E+000 0.15916794252522E-005 0.12431087382877E-007 0.37451858273313E-023 0.25338028216037E-008 0.55155480664795E-014 0.84938287502615E-006 0.38377993503399E-019 0.39607118945024E-008 -.66489654320515E-036 0.12368819488232E-013 0.44613612515614E+000 0.33354044004625E-031 0.30061408743463E+003 0.13374843337211E-001 -.18875191587044E+004 0.10000000000001E+001 0.83883739770335E+002 0.10000000000000E+006 0.79070467491898E-003 0.19763247539999E+002 0.10000000000000E+001 0.10000000000000E+001 0.30061408743463E+003 0.13371519878733E-009 0.22031870971728E-022
   7 -.26006156669398E+000 0.10058984505989E-001 0.39139180155505E-018 0.28194120167011E-020 0.13706136046095E+000 0.11027729747117E-014 0.63160248539585E-004 0.28591577334959E-007 0.13972047065364E-024 0.73397126863840E-026 0.80455483659897E-011 0.40662888961977E+000 0.67396624227487E-005 0.78454334907962E-007 0.38555285500783E-021 0.16774711231783E-007 0.83800021087025E-013 0.53488954178033E-005 0.15159517925127E-017 0.28764439236127E-007 -.44302433943664E-036 0.52750707266654E-013 0.44617536401367E+000 0.79968085664314E-031 0.30176727295806E+003 0.12362775383434E-001 -.18857197866844E+004 0.10000000000002E+001 0.83929022619884E+002 0.10000000000000E+006 0.78844196572299E-003 0.19782289144297E+002 0.10000000000000E+001 0.10000000000000E+001 0.30176727295806E+003 0.20787473190856E-008 0.11033923966333E-021
   8 -.24851930667857E+000 0.99863884528939E-002 0.18694126442072E-017 0.52480521552209E-020 0.13717202863240E+000 0.51880829852387E-014 0.13368228871365E-003 0.64327538312817E-007 0.14265275025301E-023 0.75465071102756E-025 0.17507257449508E-010 0.40637473397533E+000 0.15251685804529E-004 0.22240793320076E-006 0.52626731619209E-020 0.48845537046546E-007 0.39380789419581E-012 0.15145116089420E-004 0.14737200979937E-016 0.88269737893167E-007 -.68168293168706E-037 0.11985639153247E-012 0.44630234597999E+000 0.11897857428153E-030 0.30327458368269E+003 0.11717210262064E-001 -.18830324355260E+004 0.10000000000004E+001 0.84001389900469E+002 0.10000000000000E+006 0.78513350541313E-003 0.19797675499401E+002 0.10000000000000E+001 0.10000000000000E+001 0.30327458368269E+003 0.99136758102723E-008 0.29525124960913E-021
   9 -.24048484033465E+000 0.99331346579943E-002 0.53309152863964E-017 0.81117834286514E-020 0.13726272486358E+000 0.14246630838350E-013 0.21946939687921E-003 0.10998083550740E-006 0.65395799209884E-023 0.34840185811828E-024 0.29307885254204E-010 0.40605443141038E+000 0.26177692394505E-004 0.44293411102896E-006 0.29218408447646E-019 0.99002636799134E-007 0.10882319956898E-011 0.30138932723409E-004 0.67937390077872E-016 0.18526799690580E-006 0.44387052675708E-036 0.20626418399799E-012 0.44647308582985E+000 0.14854049006250E-030 0.30495109633607E+003 0.11248720819039E-001 -.18799650872604E+004 0.10000000000006E+001 0.84091261530918E+002 0.10000000000000E+006 0.78130830220204E-003 0.19810129442990E+002 0.10000000000000E+001 0.10000000000000E+001 0.30495109633607E+003 0.27759772452147E-007 0.58567624617389E-021
  10 -.23425809266596E+000 0.98922157419762E-002 0.11709747648110E-016 0.11490563130391E-019 0.13733577133537E+000 0.29865662533205E-013 0.31732671348754E-003 0.16391182323244E-006 0.20075148123071E-022 0.10771693611517E-023 0.43041132391174E-010 0.40569535525582E+000 0.39129621337237E-004 0.73924021613721E-006 0.10334277277867E-018 0.16738452234913E-006 0.23078937545047E-011 0.50273594257252E-004 0.21284795279623E-015 0.32152402605685E-006 0.10752600126073E-035 0.30891831052884E-012 0.44666853563147E+000 0.17195868901902E-030 0.30675067560008E+003 0.10875203216864E-001 -.18766756891212E+004 0.10000000000009E+001 0.84194925231979E+002 0.10000000000000E+006 0.77713716870591E-003 0.19820649594875E+002 0.10000000000000E+001 0.10000000000000E+001 0.30675067560008E+003 0.59551422321071E-007 0.98890834531624E-021
