[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 0.00000000000000E+000 0.53358525246979E-039 0.00000000000000E+000 -.15128958194788E-037 0.00000000000000E+000 0.00000000000000E+000 0.15128958194788E-037 0.00000000000000E+000 0.00000000000000E+000 0.15662543447258E-037 -.15662543447258E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.37757096506038E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.46229263832459E+000 -.12886492828166E-041 0.53487390174600E-039 -.15324683788710E-032 -.36687326090580E-032 0.52011858589708E-032 0.00000000000000E+000 0.15128958178860E-037 0.10445164603544E-061 0.32444784999034E-060 -.21362334399650E-032 -.15324840401348E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.36687174800908E-032 0.90792930943239E-044 0.00000000000000E+000 0.29222618484939E-057 0.51137423185624E-049 0.36955292049642E-068 0.36955292049642E-068 -.36955292049642E-068 0.00000000000000E+000 0.77502303505128E-027 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.42462741241477E+000 -.15326824026223E-035 0.15332160511059E-035 -.91916654290197E-028 -.48599479258799E-029 0.96776602200948E-028 0.00000000000000E+000 0.15128957819165E-037 0.18320290703471E-055 0.56935035174434E-054 0.87056704862438E-028 -.91916652773189E-028 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.48599479107390E-029 0.12027334143927E-040 0.00000000000000E+000 0.51280685466261E-051 0.89737411141363E-043 0.22165591258760E-063 0.22165591258760E-063 -.22165591258760E-063 0.00000000000000E+000 -.24256728732460E-025 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.38708315976174E+000 -.20084869532163E-030 0.20084879255096E-030 -.55035360853709E-024 -.12412492686102E-026 0.55159485780559E-024 -.26882336771411E-048 0.11720162948796E-037 0.11950525551738E-050 0.37139359140977E-049 0.54911215841961E-024 -.55035340768832E-024 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.12412492686916E-026 0.35788461391828E-038 0.00000000000000E+000 0.33450964771498E-046 0.58536722931254E-038 0.13271708181439E-059 0.13271708181439E-059 -.13271708181439E-059 0.00000000000000E+000 -.61663332688444E-020 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.34990720904665E+000 -.33188243311516E-026 0.33189395476932E-026 -.60549690315640E-021 -.13443041765793E-023 0.60684120727493E-021 -.65581923708300E-039 -.57224206661315E-031 0.14017302151326E-044 0.43562408570626E-043 0.60414927980521E-021 -.60549358416796E-021 -.63058240604497E-034 0.63058240604497E-034 0.85943334647770E-035 0.13443043406090E-023 0.84024630902156E-032 0.00000000000000E+000 0.39236140543836E-040 0.68660429769670E-032 0.14601424058319E-056 0.14601423024795E-056 -.14601423541557E-056 0.00000000000000E+000 -.67887714470139E-017 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.31374406720874E+000 -.55652520111016E-022 0.55965350889078E-022 -.16213025425094E-018 -.13530351960761E-019 -.19009201513440E-017 0.20765869595759E-017 -.65160413473074E-023 0.15864572155089E-032 0.68861897553881E-027 0.22251215581271E-017 -.22386601297216E-017 -.24475519029623E-026 0.24475519029623E-026 0.17880786228556E-028 0.13531781659259E-019 0.53978985623112E-023 -.14059201398620E-028 0.40797876597040E-032 0.69567910893954E-024 0.39214584007265E-054 0.38976360420936E-054 -.39095472214100E-054 0.00000000000000E+000 0.12492155189900E-012 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.28011337919081E+000 -.20826004659204E-018 0.22509598097612E-018 -.11937516599108E-016 -.88665954300516E-017 -.13952797129489E-014 0.14218533839330E-014 -.57866222055256E-017 0.74218161816343E-027 0.32215031417856E-021 0.14178680442004E-014 -.14331866868485E-014 -.14300802804665E-020 0.14300802804665E-020 0.27991519719531E-021 0.92616370059258E-017 0.54069338847234E-017 -.98944608766239E-022 0.65279658172584E-024 0.32483313738600E-018 0.16993752886238E-051 -.11288532379766E-051 -.28526102532358E-052 0.00000000000000E+000 0.87466430295376E-010 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.25344865854932E+000 -.12280687765354E-015 -.62960844688360E-017 -.36527805076645E-015 -.51757049460418E-013 -.20813885629332E-012 0.23812699839960E-012 0.22097119856194E-013 -.53194415743222E-020 -.10942857619473E-020 0.20435132728131E-012 -.23643642261928E-012 -.17800960708884E-016 0.19598685249172E-016 0.13707085798895E-016 0.53490699387649E-013 -.23828807730305E-013 0.10387110186655E-017 -.16498381564674E-017 0.12044637691451E-014 0.23478270229047E-048 -.23377692175712E-048 -.50289026667357E-051 0.00000000000000E+000 0.24232503586562E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.23774834245392E+000 -.67166204448084E-014 -.25135507766332E-015 -.78109411082736E-014 -.32595266263924E-011 -.43539918464043E-011 0.66921098591721E-011 0.92324716310092E-012 -.44372270586539E-018 -.23274517416032E-019 0.39822649059027E-011 -.64796424955922E-011 0.18773713163470E-014 0.52829721603950E-014 -.32518574573182E-017 0.34384682685429E-011 -.11086564773992E-011 0.21056843021241E-015 -.21552163995719E-015 0.80209540171584E-013 0.11820029843888E-046 -.11815489706401E-046 -.22700687433731E-050 0.00000000000000E+000 0.11120375097727E-005 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.22954018785338E+000 -.54308550472415E-013 -.25001014179729E-014 -.45306668852899E-013 -.25165450904028E-010 -.20603494303964E-010 0.39764659369769E-010 0.59543002137928E-011 -.50893207330575E-017 -.26938047833633E-018 0.16758968768516E-010 -.37167788370226E-010 0.74347928831819E-013 0.91081579013864E-013 -.57059184033759E-016 0.27100233257760E-010 -.80502443019172E-011 0.39215199365875E-014 -.30262673215345E-014 0.59583652533844E-012 0.94142613454119E-046 -.94133122182483E-046 -.47456358179467E-050 0.00000000000000E+000 0.82965711439926E-005 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  11 -.22462222183631E+000 -.17546721048946E-012 -.10490545916318E-013 -.12767632879670E-012 -.79319497963787E-010 -.46367717882825E-010 0.10930793822414E-009 0.16048708169450E-010 -.20837143681229E-016 -.11165671009962E-017 0.31152322293476E-010 -.98126711714777E-010 0.51577252659168E-012 0.44628223312900E-012 -.30510528320421E-015 0.86895648660569E-010 -.24574644971983E-010 0.20533957325603E-013 -.13518636866657E-013 0.18388136955352E-011 0.35831122646249E-045 -.35829668633330E-045 -.72700645957893E-050 0.00000000000000E+000 0.26414861149913E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  12 -.22110253256856E+000 -.39011261910820E-012 -.28274080991092E-013 -.26387691785275E-012 -.17344852031470E-009 -.77366034640024E-010 0.21960455570088E-009 0.30142485972121E-010 -.52800422763686E-016 -.28697793765007E-017 0.37626450277101E-010 -.18895142944074E-009 0.18634368439570E-011 0.13066364654026E-011 -.93619215291439E-015 0.19262801983758E-009 -.52466368878038E-010 0.62972007310097E-013 -.36621751865212E-013 0.39707731230999E-011 0.10188884826057E-044 -.10188688618568E-044 -.98103744395596E-050 0.00000000000000E+000 0.59040373812704E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  13 -.21830931652516E+000 -.72006853138904E-012 -.60626233884872E-013 -.46481275464565E-012 -.31579154980081E-009 -.11188267132519E-009 0.37764072178538E-009 0.47502992982256E-010 -.10560519116099E-015 -.58294563846310E-017 0.28394349598776E-010 -.31118421575524E-009 0.48852561496219E-011 0.29517970373498E-011 -.21693094125255E-014 0.35449102715017E-009 -.93993832133530E-010 0.14820245474951E-012 -.77355391198084E-013 0.71581022849044E-011 0.25281707922818E-044 -.25281459544534E-044 -.12418914203205E-049 0.00000000000000E+000 0.11018886825867E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  14 -.21596574398865E+000 -.11891444248980E-011 -.11350248418051E-012 -.74254763535704E-012 -.51503649353553E-009 -.14926428077991E-009 0.59157866371377E-009 0.67694940425762E-010 -.18438415821223E-015 -.10347261686538E-016 -.39350535853820E-011 -.46693370767899E-009 0.10574528742208E-010 0.57004847081350E-011 -.42582153011894E-014 0.58289155824447E-009 -.15175152726662E-009 0.29775929720240E-012 -.14091796744779E-012 0.11572243561689E-010 0.58232955306908E-044 -.58232652710866E-044 -.15129802113578E-049 0.00000000000000E+000 0.18416772127054E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  15 -.21393203321181E+000 -.18230616108918E-011 -.19421244650032E-012 -.11100816087015E-011 -.78017710998028E-009 -.18948543588385E-009 0.87021194815275E-009 0.90555838907301E-010 -.29510562277363E-015 -.16846908912824E-016 -.66571220529877E-010 -.65854496968628E-009 0.20130816419936E-010 0.99020236968856E-011 -.74891578487177E-014 0.88818243812450E-009 -.22848370129460E-009 0.53798201776404E-012 -.23263826787592E-012 0.17390863440018E-010 0.12825642744299E-043 -.12825606810757E-043 -.17966770978405E-049 0.00000000000000E+000 0.28544627803993E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  16 -.21212723565388E+000 -.26497096436089E-011 -.31171984417466E-012 -.15813580412800E-011 -.11204871183384E-008 -.23295903163293E-009 0.12227567113413E-008 0.11619701973059E-009 -.44502538210194E-015 -.25852909540042E-016 -.16654129103125E-009 -.88858126749777E-009 0.34933510498974E-010 0.15928648142995E-010 -.12183427398260E-013 0.12805548932953E-008 -.32696964110431E-009 0.90023048799857E-012 -.35798831290007E-012 0.24801658825783E-010 0.27443594076764E-043 -.27443552179451E-043 -.20948656317435E-049 0.00000000000000E+000 0.41858005761201E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  17 -.21049836746091E+000 -.37006139550705E-011 -.47712302117898E-012 -.21719564923557E-011 -.15459601828475E-008 -.28044273164939E-009 0.16591920678602E-008 0.14500750140919E-009 -.64326411762947E-015 -.38028947576499E-016 -.31084216620570E-009 -.11601375310434E-008 0.56537271756010E-010 0.24178334062498E-010 -.18707880313358E-013 0.17705037543207E-008 -.45005100316316E-009 0.14216799323310E-011 -.52281108180128E-012 0.34016495872698E-010 0.57613071905774E-043 -.57613023715841E-043 -.24094966436712E-049 0.00000000000000E+000 0.58834132397884E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  18 -.20900744075461E+000 -.50132049276707E-011 -.70434890669680E-012 -.29001891890794E-011 -.20680057777628E-008 -.33297040598647E-009 0.21908887185335E-008 0.17763990283242E-009 -.90148363108380E-015 -.54225476171191E-016 -.50679810827031E-009 -.14772343760092E-008 0.86702561773900E-010 0.35088641866507E-010 -.27492673414353E-013 0.23696039517590E-008 -.60074267808969E-009 0.21469483395393E-011 -.73371916158979E-012 0.45290998498237E-010 0.11950556148922E-042 -.11950550663061E-042 -.27429304531004E-049 0.00000000000000E+000 0.79998869042782E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  19 -.20762720521667E+000 -.66314209553774E-011 -.10108747296895E-011 -.37872345944469E-011 -.26994068327900E-008 -.39173222189615E-009 0.28305114443474E-008 0.21494302808199E-009 -.12344123690640E-014 -.75522061977767E-016 -.76219506059465E-009 -.18447188426991E-008 0.12740440471774E-009 0.49139578286485E-010 -.39046015197491E-013 0.30904283022712E-008 -.78213719598761E-009 0.31292669227554E-011 -.99824762341504E-012 0.58928565678394E-010 0.24612936875213E-042 -.24612930679855E-042 -.30976788063257E-049 0.00000000000000E+000 0.10592589370735E-002 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  20 -.20633838282934E+000 -.86053814191300E-011 -.14183987858047E-011 -.48567821551008E-011 -.34538967436039E-008 -.45796808251023E-009 0.35915772568796E-008 0.25788130907361E-009 -.16602160815335E-014 -.10326285499595E-015 -.10851832754767E-008 -.22680138465690E-008 0.18080932018201E-009 0.66846224887564E-010 -.53963009912631E-013 0.39460306138414E-008 -.99719994394222E-009 0.44309983524540E-011 -.13248241268232E-011 0.75277142557304E-010 0.50480921358293E-042 -.50480914406006E-042 -.34761431772096E-049 0.00000000000000E+000 0.13721962644602E-002 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  21 -.20512656646126E+000 -.10992532773391E-010 -.19537268521436E-011 -.61354997812058E-011 -.43463022166929E-008 -.53293789459357E-009 0.44886123453301E-008 0.30748772762331E-009 -.22010479342946E-014 -.13910533090295E-015 -.14843664809147E-008 -.27532405712325E-008 0.24928090215296E-009 0.88762525232987E-010 -.72938924990334E-013 0.49500862131822E-008 -.12487291996922E-008 0.61249163223011E-011 -.17229499228429E-011 0.94738978775302E-010 0.10329523574102E-041 -.10329522797950E-041 -.38807575092765E-049 0.00000000000000E+000 0.17452114761143E-002 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  22 -.20398012672033E+000 -.13860114461211E-010 -.26500481009802E-011 -.76541807290945E-011 -.53931223842796E-008 -.61793320346129E-009 0.55377517594874E-008 0.36483981947309E-009 -.28838790670134E-014 -.18508966143872E-015 -.19691117070065E-008 -.33075560410258E-008 0.33542778481330E-009 0.11549755197453E-009 -.96789935729462E-013 0.61175147535301E-008 -.15394400980406E-008 0.82966469129227E-011 -.22035919419771E-011 0.11779075235878E-009 0.21118053749610E-041 -.21118052886762E-041 -.43142402477580E-049 0.00000000000000E+000 0.21853309986361E-002 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  23 -.20288976933628E+000 -.17286224377924E-010 -.35483616721050E-011 -.94481066848925E-011 -.66125089658481E-008 -.71424486704411E-009 0.67567356975348E-008 0.43100868424535E-009 -.37413658188798E-014 -.24371661984698E-015 -.25496052388839E-008 -.39391481037403E-008 0.44211491292853E-009 0.14771856855651E-009 -.12647341951158E-012 0.74644092965217E-008 -.18718770337440E-008 0.11046413080119E-010 -.27793371129934E-011 0.14499195246456E-009 0.43181138742036E-041 -.43181137786132E-041 -.47795182166968E-049 0.00000000000000E+000 0.27001983748892E-002 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  24 -.20184776651968E+000 -.21362287061731E-010 -.46992741463923E-011 -.11558135426729E-010 -.80246922923406E-008 -.82317534768733E-009 0.81653562408043E-008 0.50703726588079E-009 -.48129129025144E-014 -.31804101283158E-015 -.32371051375692E-008 -.46574753229823E-008 0.57251325727628E-009 0.18616557604664E-009 -.16311028158409E-012 0.90084508657701E-008 -.22484448696287E-008 0.14491987313966E-010 -.34647602997803E-011 0.17700470914724E-009 0.88382661499205E-041 -.88382660443237E-041 -.52798433917075E-049 0.00000000000000E+000 0.32982612889753E-002 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  25 -.20084779295176E+000 -.26194536177684E-010 -.61649596472272E-011 -.14031250485444E-010 -.96519755987188E-008 -.94602120408404E-009 0.97854700420633E-008 0.59390179262004E-009 -.61456869043703E-014 -.41176579549206E-015 -.40439844947285E-008 -.54732851066738E-008 0.73011484302767E-009 0.23165477585438E-009 -.20800129550724E-012 0.10768829729850E-007 -.26713160985871E-008 0.18771061575564E-010 -.42766156171942E-011 0.21460600904441E-009 0.18118671794821E-040 -.18118671678446E-040 -.58187344305681E-049 0.00000000000000E+000 0.39887739886748E-002 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
