[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.22659191879081E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.34081758152042E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.73932632305714E+000 0.00000000000000E+000 0.30000000000000E+003 0.90922992747723E-001 -.15649619001421E+003 0.10000000000000E+001 0.21727074131493E+003 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.37757096506038E-032 0.00000000000000E+000
   2 -.46229263832459E+000 0.11238841122504E-011 -.11257123823553E-033 0.31910451129274E-029 0.22659191878371E+000 -.73120057674557E-027 -.81074198191265E-022 -.11870529362629E-024 -.40508949837223E-037 -.12916359193748E-038 0.56106589140684E-027 0.34081758150921E-001 -.98261591187044E-023 -.61940774351232E-023 -.47979437818451E-035 -.19151577541076E-024 -.13005631819116E-026 -.84741142746383E-025 -.20853982467369E-031 -.75299704729975E-025 -.51471530999015E-031 -.28965177655171E-028 0.73932632306425E+000 -.93198681883076E-037 0.29999999999591E+003 0.81701338586040E-001 -.15649619001327E+003 0.10000000000000E+001 0.21727074131493E+003 0.10000000000000E+006 0.11262223852658E-002 0.28091833463815E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999999591E+003 0.77502303505128E-027 0.00000000000000E+000
   3 -.42462741241477E+000 0.37537604804492E-010 -.72118023546703E-031 0.19139722014507E-024 0.22659191861363E+000 -.87067400601331E-024 -.35393301837574E-020 -.44865044944405E-023 -.43086061851591E-034 -.17122701825621E-035 0.74324366430738E-024 0.34081758123541E-001 -.42000724939631E-021 -.25578626886427E-021 -.25946489553397E-031 -.74098433303477E-023 -.59443687999743E-024 -.35183079957738E-023 -.74420724991219E-029 -.30941393093717E-023 -.11174536008810E-029 -.12306742462011E-026 0.73932632322529E+000 -.53140366444670E-035 0.29999999989556E+003 0.72499640420691E-001 -.15649618999059E+003 0.10000000000000E+001 0.21727074131767E+003 0.10000000000000E+006 0.11262223851114E-002 0.28091833450565E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999989556E+003 -.24256728732460E-025 0.00000000000000E+000
   4 -.38708315976174E+000 0.83389212294255E-009 -.61425544668501E-028 0.11459960833285E-020 0.22659191584761E+000 -.22132012890186E-021 0.15599860436880E-019 0.52251340329211E-022 -.10021757118232E-030 -.50585842091430E-032 0.18982729210287E-021 0.34081757671254E-001 -.83981775971562E-020 -.47961333339366E-020 -.45874150861751E-028 -.94763775773708E-023 -.14535756763757E-021 -.66394615533534E-022 -.24578912522293E-026 -.57408572648330E-022 -.16591426526438E-028 -.24477161377054E-025 0.73932632564724E+000 -.16739340694579E-033 0.29999999822862E+003 0.63357803933370E-001 -.15649618962085E+003 0.10000000000000E+001 0.21727074142402E+003 0.10000000000000E+006 0.11262223797628E-002 0.28091833161063E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999822862E+003 -.61663332688444E-020 0.00000000000000E+000
   5 -.34990720904665E+000 0.12524535644704E-007 -.32116963532593E-025 0.12608156422282E-017 0.22659188577966E+000 -.21857921555878E-019 0.34592764413412E-013 0.79922358314000E-018 -.15890745104432E-027 -.82955761952561E-029 0.20558799335144E-018 0.34081752694672E-001 0.54814262760825E-016 -.55326391901704E-019 -.32933712793839E-025 0.25201963673815E-019 -.27812286014132E-019 -.77157091474560E-021 -.58647312029747E-024 -.64427223108209E-021 -.17501293018239E-025 0.16583336455728E-021 0.73932634900110E+000 -.48778952020425E-032 0.29999997974661E+003 0.54384943731373E-001 -.15649618562910E+003 0.10000000000000E+001 0.21727074366581E+003 0.10000000000000E+006 0.11262222788430E-002 0.28091828913133E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999997974661E+003 -.67887714470139E-017 0.33900835996641E-036
   6 -.31374406720874E+000 0.12500899071276E-006 -.81043049593332E-023 0.33758548444499E-015 0.22659168171360E+000 0.26823305561088E-017 0.22191737730157E-009 0.51027887936031E-013 -.15186819192736E-024 -.79615161901165E-026 0.20694236379777E-014 0.34081716587272E-001 0.38189512213042E-011 0.12207274553052E-014 -.11795870403450E-022 0.28985193600159E-016 -.50834302647856E-017 0.32536787195093E-016 -.96904463191500E-022 0.80274405595776E-019 -.98057001096772E-023 0.14276363561281E-016 0.73932647646435E+000 -.16324051734994E-030 0.29999984416935E+003 0.45845845281073E-001 -.15649616054114E+003 0.10000000000000E+001 0.21727077155499E+003 0.10000000000000E+006 0.11262211511302E-002 0.28091788088761E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999984416935E+003 0.12492155189900E-012 0.00000000000000E+000
   7 -.28011337919081E+000 0.79666397496017E-006 -.65921113353902E-021 0.24632437764464E-013 0.22659124842269E+000 0.18364101368526E-014 0.10995651015222E-006 0.74801748040565E-010 -.77860091493318E-022 -.40860319352401E-023 0.14140976792080E-011 0.34081309033307E-001 0.57118933579413E-008 0.20809614649367E-009 -.31458411331391E-020 0.52583605675945E-011 -.45871958704117E-015 0.31382667492559E-011 -.12473377240415E-019 0.94121981578563E-012 -.11451498367771E-020 0.23228297723377E-013 0.73932652991792E+000 -.39177506153629E-028 0.29999999462053E+003 0.38468911678983E-001 -.15649558873965E+003 0.10000000000000E+001 0.21727104608187E+003 0.10000000000000E+006 0.11262110180083E-002 0.28091549422240E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999462053E+003 0.87466430295376E-010 0.00000000000000E+000
   8 -.25344865854932E+000 0.28680028380270E-005 0.23604914774325E-019 0.43439829944780E-012 0.22659544361440E+000 0.30680835593540E-012 0.57103679734767E-005 0.66109803073681E-008 0.13546516245625E-020 0.70222643314233E-022 0.86130990712887E-010 0.34072861415178E-001 0.50953683333509E-006 0.94966236042799E-007 -.44471992191639E-018 0.25445053597263E-008 0.17033938346419E-012 0.12454157081604E-008 0.44507197386308E-017 0.72588209346935E-009 -.26197180657413E-019 0.21537288625990E-011 0.73932250088056E+000 -.37020221293740E-026 0.30006275669228E+003 0.33286701723622E-001 -.15646829237690E+003 0.10000000000000E+001 0.21727936695641E+003 0.10000000000000E+006 0.11259495335267E-002 0.28090902687881E+002 0.10000000000000E+001 0.10000000000000E+001 0.30006275669228E+003 0.24232503586562E-007 0.00000000000000E+000
   9 -.23774834245392E+000 0.56581880693380E-005 0.18785611465543E-017 0.19655766139168E-011 0.22661044105893E+000 0.84571017867913E-011 0.43848838852090E-004 0.65000115775755E-007 0.30330458044305E-018 0.15813703112870E-019 0.70423534606177E-009 0.34027668747857E-001 0.50317075158375E-005 0.18520632358912E-005 0.56353799360891E-017 0.50718335633690E-007 0.11076763718468E-010 0.23025129113519E-007 0.68520277295566E-015 0.17167784971982E-007 -.13344346253751E-018 0.21642700942820E-010 0.73930534273679E+000 -.34514560207310E-025 0.30055884778412E+003 0.30366176974032E-001 -.15628211820596E+003 0.10000000000000E+001 0.21734351781559E+003 0.10000000000000E+006 0.11240675152274E-002 0.28090313714123E+002 0.10000000000000E+001 0.10000000000000E+001 0.30055884778412E+003 0.11120375097727E-005 0.00000000000000E+000
  10 -.22954018785338E+000 0.78884094174721E-005 0.22607618176794E-016 0.41290918536148E-011 0.22661925719832E+000 0.48198323570683E-010 0.11783326355927E-003 0.19684072099238E-006 0.47040167006505E-017 0.24646657664040E-018 0.19275052832772E-008 0.33950499870455E-001 0.15272321831573E-004 0.77704335106501E-005 0.13336552704042E-015 0.21486185095147E-006 0.87807052302601E-010 0.94212356032469E-007 0.11107386220505E-013 0.78830578996750E-007 -.29369168873131E-018 0.66242412728545E-010 0.73928089162351E+000 -.10143535978997E-024 0.30158769199235E+003 0.28767228304522E-001 -.15592830241229E+003 0.10000000000000E+001 0.21748220519712E+003 0.10000000000000E+006 0.11202227775348E-002 0.28090061352078E+002 0.10000000000000E+001 0.10000000000000E+001 0.30158769199235E+003 0.82965711439926E-005 0.00000000000000E+000
