[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 0.00000000000000E+000 0.53358525246979E-039 0.00000000000000E+000 -.15128958194788E-037 0.00000000000000E+000 0.00000000000000E+000 0.15128958194788E-037 0.00000000000000E+000 0.00000000000000E+000 0.15662543447258E-037 -.15662543447258E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.37757096506038E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.49988966558805E+000 0.71497940292465E-011 -.27640361523825E-006 -.51480412961895E-009 -.38401249163559E-006 -.24217005026801E-007 0.43979832472958E-007 0.36413061702020E-006 -.52719883275900E-009 -.65891065740212E-010 -.58878091019594E-008 -.30088925096837E-007 0.65979915588911E-008 0.48316796065841E-009 -.23498371902502E-008 0.10289314747452E-006 -.87591911850246E-007 0.24819410532996E-008 -.24127076684725E-008 0.81993996870358E-008 -.12598459519722E-020 0.12549561101512E-020 0.24449209105046E-023 0.00000000000000E+000 0.80752338911519E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.49977715904680E+000 0.27152979608448E-010 -.51549705784779E-006 -.19732798996224E-008 -.72077299133285E-006 -.43354122867497E-007 0.11829578001150E-006 0.64534806367323E-006 -.77495223860509E-009 -.66940172608779E-010 -.74029006742717E-007 -.65032484342653E-007 0.18029709361542E-007 0.19207467396128E-008 -.29569826165144E-008 0.19930393381299E-006 -.14033667596240E-006 0.54198152409028E-008 -.51288103565160E-008 0.31680321196289E-007 -.32414591425777E-020 0.32223209807794E-020 0.95690808991750E-023 0.00000000000000E+000 0.17133934268938E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.49966057758449E+000 0.59906871658438E-010 -.73655844170994E-006 -.43105086940743E-008 -.10352991075826E-005 -.58695085750837E-007 0.22251052275452E-006 0.87039337159917E-006 -.87053855219830E-009 -.66083761217544E-010 -.19929828226924E-006 -.10628950297749E-006 0.35540739392491E-007 0.43428270321837E-008 -.31395041134861E-008 0.29195455153004E-006 -.16273489721619E-006 0.89069625230366E-008 -.82123448965033E-008 0.69585727841019E-007 -.61282051087107E-020 0.60856162537928E-020 0.21294427458926E-022 0.00000000000000E+000 0.27528285625792E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.49953945146618E+000 0.10731780510623E-009 -.95071073682965E-006 -.74826172532927E-008 -.13415607414791E-005 -.71308811828464E-007 0.35638458978436E-006 0.10545736073437E-005 -.88889858380764E-009 -.65290415875165E-010 -.37766886250611E-006 -.15505660203090E-006 0.59372610172520E-007 0.77916954017775E-008 -.32181955064892E-008 0.38205050209506E-006 -.15740719999640E-006 0.13014486765361E-007 -.11700540502449E-007 0.12123117442220E-006 -.10140726240788E-019 0.10065547440517E-019 0.37589400135446E-022 0.00000000000000E+000 0.39432184331221E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.49941372234384E+000 0.17336685283150E-009 -.11656123536200E-005 -.11448979837764E-007 -.16492665205990E-005 -.82326256173699E-007 0.51959791550694E-006 0.12091105103873E-005 -.87140661976192E-009 -.64649930897590E-010 -.60484604732648E-006 -.21246318728594E-006 0.89464000385473E-007 0.12304548591447E-007 -.32755549700007E-008 0.47044300452718E-006 -.12675120619768E-006 0.17804937205719E-007 -.15620081351493E-007 0.18584539355910E-006 -.15540632755842E-019 0.15423863304479E-019 0.58384725681938E-022 0.00000000000000E+000 0.52933252230516E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.49928335397302E+000 0.26459503067082E-009 -.13870531381817E-005 -.16175466935446E-007 -.19660163670920E-005 -.92959523811071E-007 0.71194489315314E-006 0.13431197977430E-005 -.84037242872587E-009 -.64196197644508E-010 -.87647066611419E-006 -.27967371222191E-006 0.12566984051229E-006 0.17916202500059E-007 -.33340010989858E-008 0.55798036838141E-006 -.73165376503501E-007 0.23340982806250E-007 -.19995492310702E-007 0.26264546609005E-006 -.22642163636771E-019 0.22474983682509E-019 0.83589977131190E-022 0.00000000000000E+000 0.68080967820154E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.49914832712370E+000 0.39068078123013E-009 -.16194683299505E-005 -.21634631993659E-007 -.22978749896453E-005 -.10445083356324E-006 0.93333160084318E-006 0.14641403943456E-005 -.80739003835810E-009 -.63962803804908E-010 -.11882078096658E-005 -.35787745927399E-006 0.16781680376978E-006 0.24658848246681E-007 -.34004307319967E-008 0.64551263984410E-006 0.97634593778917E-009 0.29684885184354E-007 -.24848817149395E-007 0.35086013932285E-006 -.31818433428793E-019 0.31592242762392E-019 0.11309533320070E-021 0.00000000000000E+000 0.84899589550057E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.49900864815758E+000 0.56513830886878E-009 -.18662795685473E-005 -.27805546528433E-007 -.26497204237615E-005 -.11802454835788E-006 0.11837533734932E-005 0.15784617717675E-005 -.77823227720601E-009 -.63984790666970E-010 -.15358064028110E-005 -.44826971750389E-006 0.21571921415235E-006 0.32561347385052E-007 -.34776217091738E-008 0.73388483726064E-006 0.93344900907091E-007 0.36897401296677E-007 -.30198903017303E-007 0.44974433141404E-006 -.43506465991841E-019 0.43212923235800E-019 0.14677137802047E-021 0.00000000000000E+000 0.10339581561864E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.49886435334793E+000 0.80612994752114E-009 -.21301368807489E-005 -.34673758880752E-007 -.30254825436859E-005 -.13484371622860E-006 0.14632740057171E-005 0.16913439599958E-005 -.75562073021803E-009 -.64298627807137E-010 -.19151571667281E-005 -.55203202555773E-006 0.26918537649431E-006 0.41648631216672E-007 -.35672694871968E-008 0.82393138050669E-006 0.20167388682515E-006 0.45036747136431E-007 -.36060830790325E-007 0.55859263669799E-006 -.58211152482898E-019 0.57842213284745E-019 0.18446959907673E-021 0.00000000000000E+000 0.12356426460623E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  11 -.49871548240977E+000 0.11374453422604E-008 -.24131445114226E-005 -.42232856521223E-007 -.34283847639014E-005 -.15597579154687E-006 0.17720686059003E-005 0.18071859125101E-005 -.74074083407729E-009 -.64942352358093E-010 -.23224279499942E-005 -.67033596612356E-006 0.32803324294403E-006 0.51943341555461E-007 -.36708903377302E-008 0.91648727444996E-006 0.32380143478311E-006 0.54159462196155E-007 -.42446742576556E-007 0.67677487833510E-006 -.76511620062102E-019 0.76059556037841E-019 0.22603201213058E-021 0.00000000000000E+000 0.14539573842594E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  12 -.49856207630383E+000 0.15896021008837E-008 -.27170005705119E-005 -.50485190133236E-007 -.38610826723623E-005 -.18236471350894E-006 0.21104331283598E-005 0.19296305619029E-005 -.73405210433439E-009 -.65955633463153E-010 -.27541327881189E-005 -.80433798597132E-006 0.39209848522661E-006 0.63466691820214E-007 -.37901300993847E-008 0.10123825343824E-005 0.45769672305104E-006 0.64320479903831E-007 -.49366004561817E-007 0.80375376338155E-006 -.99066171029678E-019 0.98523577966853E-019 0.27129653141259E-021 0.00000000000000E+000 0.16888152433543E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  13 -.49840418785646E+000 0.22010340240392E-008 -.30430777914408E-005 -.59441851511271E-007 -.43257339785416E-005 -.21480860333599E-006 0.24787642530300E-005 0.20616359886598E-005 -.73570566530559E-009 -.67379788631679E-010 -.32071452309422E-005 -.95516477093434E-006 0.46123618194910E-006 0.76238419684938E-007 -.39268808799035E-008 0.11124284201320E-005 0.60146762100967E-006 0.75572439062981E-007 -.56824858889559E-007 0.93908708254391E-006 -.12661466965512E-018 0.12597447299523E-018 0.32009832994281E-021 0.00000000000000E+000 0.19401467783990E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  14 -.49824187661262E+000 0.30194252419432E-008 -.33925092917127E-005 -.69123406774928E-007 -.48240870381489E-005 -.25394700098056E-006 0.28775711180835E-005 0.22055423399825E-005 -.74575123538295E-009 -.69257944232691E-010 -.36787379343954E-005 -.11239128118870E-005 0.53532806407351E-006 0.90277867631318E-007 -.40833355058374E-008 0.12174129518656E-005 0.75337527030860E-006 0.87966029373910E-007 -.64826803483378E-007 0.10824382426539E-005 -.15998199794781E-018 0.15923744704094E-018 0.37227545343341E-021 0.00000000000000E+000 0.22079279868510E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  15 -.49807520721800E+000 0.41031630483379E-008 -.37662520235475E-005 -.79560483171841E-007 -.53575460594309E-005 -.30025526164642E-006 0.33074822675277E-005 0.23631268694912E-005 -.76423751295667E-009 -.71635216339093E-010 -.41665990501210E-005 -.13116488902372E-005 0.61428830499032E-006 0.10560497768682E-006 -.42620103988729E-008 0.13280939115963E-005 0.91184169560839E-006 0.10155029984919E-006 -.73372910586984E-007 0.12335810775401E-005 -.20008091026388E-018 0.19922556293075E-018 0.42767366656866E-021 0.00000000000000E+000 0.24921980996135E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  16 -.49790425145971E+000 0.55228871098950E-008 -.41651303790863E-005 -.90794132331381E-007 -.59272144786867E-005 -.35404472615504E-006 0.37692443802614E-005 0.25356503484064E-005 -.79125891369029E-009 -.74558907272901E-010 -.46688251838151E-005 -.15194093822206E-005 0.69806727996909E-006 0.12224101839588E-006 -.44657508466505E-008 0.14451892578812E-005 0.10754499149898E-005 0.11637278576250E-006 -.82462009299814E-007 0.13923985552709E-005 -.24791382262947E-018 0.24694152239233E-018 0.48615011857075E-021 0.00000000000000E+000 0.27930669420467E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  17 -.49772908971182E+000 0.73631357265279E-008 -.45898711979249E-005 -.10287619297362E-006 -.65339312206900E-005 -.41546854534205E-006 0.42637219137715E-005 0.27239001894564E-005 -.82697644482035E-009 -.78078754979316E-010 -.51839053130325E-005 -.17482017221205E-005 0.78665505905425E-006 0.14020932912654E-006 -.46977290033325E-008 0.15693676591654E-005 0.12429412395415E-005 0.13247971097683E-006 -.92090909389739E-007 0.15588794646471E-005 -.30457425557719E-018 0.30347910135457E-018 0.54757711131091E-021 0.00000000000000E+000 0.31107192794813E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  18 -.49754980508794E+000 0.97241816659458E-008 -.50411495819579E-005 -.11587015476644E-006 -.71783268261716E-005 -.48453517407578E-006 0.47919181174647E-005 0.29282395359061E-005 -.87162859249643E-009 -.82247347988279E-010 -.57107177038587E-005 -.19990177542770E-005 0.88008823261470E-006 0.15953681792872E-006 -.49614466263221E-008 0.17012444099538E-005 0.14132169601085E-005 0.14991694194436E-006 -.10225505242309E-006 0.17331202905271E-005 -.37125096278957E-018 0.37002726582492E-018 0.61184848232666E-021 0.00000000000000E+000 0.34454297674321E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  19 -.49736648538556E+000 0.12723946944400E-007 -.55196116683945E-005 -.12985152736443E-006 -.78608504829549E-005 -.56112372413847E-006 0.53549762129886E-005 0.31486478220348E-005 -.92553644249415E-009 -.87120533095164E-010 -.62484974151064E-005 -.22728401761957E-005 0.97845261997416E-006 0.18025470697894E-006 -.52607328432918E-008 0.18413727580525E-005 0.15853303012128E-005 0.16873036703284E-006 -.11294877714327E-006 0.19153187075618E-005 -.44923103749964E-018 0.44787327066284E-018 0.67888341839878E-021 0.00000000000000E+000 0.37975624509349E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  20 -.49717922006503E+000 0.16500134101805E-007 -.60259047168355E-005 -.14490855999017E-006 -.85818112233042E-005 -.64500424103472E-006 0.59541952461111E-005 0.33847655792967E-005 -.98910833554805E-009 -.92757953722936E-010 -.67968137334847E-005 -.25706574318123E-005 0.10818881362428E-005 0.20239975571095E-006 -.55997494956078E-008 0.19902398907969E-005 0.17584810539623E-005 0.18896681277983E-006 -.12416587689739E-006 0.21057710363020E-005 -.53990636605855E-018 0.53840910190610E-018 0.74863207622614E-021 0.00000000000000E+000 0.41675777457438E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  21 -.49698810129440E+000 0.21212487296678E-007 -.65606924385952E-005 -.16114265937278E-006 -.93414017320755E-005 -.73585848969970E-006 0.65910340801062E-005 0.36359332106311E-005 -.10628435171762E-008 -.99223617999805E-010 -.73555329111776E-005 -.28934742251557E-005 0.11905911821023E-005 0.22601498469716E-006 -.59829970205126E-008 0.21482614395998E-005 0.19320045177786E-005 0.21067462850644E-006 -.13589994384881E-006 0.23048653534979E-005 -.64478088457314E-018 0.64313872491169E-018 0.82107983072506E-021 0.00000000000000E+000 0.45560305598423E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  22 -.49679322059054E+000 0.27045366967618E-007 -.71246775603462E-005 -.17866914921619E-006 -.10139736375272E-004 -.83330381011596E-006 0.72671294196980E-005 0.39012332979717E-005 -.11473378358765E-008 -.10658661213625E-009 -.79247926584261E-005 -.32423299556339E-005 0.13048191500593E-005 0.25115084822952E-006 -.64153314657907E-008 0.23157815144206E-005 0.21053626647612E-005 0.23390481062093E-006 -.14814499794252E-006 0.25130790335731E-005 -.76548312887822E-018 0.76369062233577E-018 0.89625327122134E-021 0.00000000000000E+000 0.49635760884334E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  23 -.49659466927392E+000 0.34210526424362E-007 -.77186095420046E-005 -.19761770835586E-006 -.10976872235631E-004 -.93691549892014E-006 0.79843016267853E-005 0.41795257720467E-005 -.12432893472098E-008 -.11492179549182E-009 -.85049657839405E-005 -.36183117671502E-005 0.14248926092068E-005 0.27786588679885E-006 -.69019829972718E-008 0.24930722990672E-005 0.22781298087836E-005 0.25871178915749E-006 -.16089591787078E-006 0.27309726994004E-005 -.90378106935546E-018 0.90183261947832E-018 0.97422493856950E-021 0.00000000000000E+000 0.53909673929383E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  24 -.49639254479499E+000 0.42949888667733E-007 -.83432681244159E-005 -.21813211579382E-006 -.11852800903817E-004 -.10462451840217E-005 0.87445365137601E-005 0.44694713198247E-005 -.13515018591857E-008 -.12431044169188E-009 -.90966081258200E-005 -.40225548635952E-005 0.15511934570052E-005 0.30622641500375E-006 -.74485687645309E-008 0.26803308936701E-005 0.24499713421214E-005 0.28515345002911E-006 -.17414850727765E-006 0.29591776885886E-005 -.10615964321880E-017 0.10594862005083E-017 0.10551158398667E-020 0.00000000000000E+000 0.58390386774382E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  25 -.49618694127957E+000 0.53539198261664E-007 -.89994879938914E-005 -.24037139828235E-006 -.12767503616605E-004 -.11608462625588E-005 0.95500227925372E-005 0.47695734655487E-005 -.14728965077586E-008 -.13484126733100E-009 -.97004547012110E-005 -.44562720185090E-005 0.16841723736783E-005 0.33630822421537E-006 -.80611394865017E-008 0.28776936716304E-005 0.26206338161632E-005 0.31329316738796E-006 -.18790061115185E-006 0.31984011994110E-005 -.12410352407751E-017 0.12387570320571E-017 0.11391043590326E-020 0.00000000000000E+000 0.63087215650920E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  26 -.49597795502909E+000 0.66291504766608E-007 -.96881331767237E-005 -.26450944201142E-006 -.13720941092894E-004 -.12802898997348E-005 0.10403134563303E-004 0.50781965565628E-005 -.16085183279187E-008 -.14661133487831E-009 -.10317374975285E-004 -.49207541562324E-005 0.18243471600845E-005 0.36819618812807E-006 -.87462090241757E-008 0.30852412319254E-005 0.27899192918625E-005 0.34320002523829E-006 -.20215231931833E-006 0.34494155931821E-005 -.14444143061674E-017 0.14419614469914E-017 0.12264295879980E-020 0.00000000000000E+000 0.68010286172759E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  27 -.49576567704780E+000 0.81561722701966E-007 -.10410106216929E-004 -.29073585564571E-006 -.14713097853544E-004 -.14041861688014E-005 0.11306463098000E-004 0.53935986407838E-005 -.17595510119287E-008 -.15972732181777E-009 -.10948369406356E-004 -.54173971065033E-005 0.19723093844369E-005 0.40198566703966E-006 -.95108167987382E-008 0.33030199351520E-005 0.29576675150964E-005 0.37495084477547E-006 -.21690707724660E-006 0.37130632856046E-005 -.16743061226018E-017 0.16716713220150E-017 0.13174002933901E-020 0.00000000000000E+000 0.73170656213301E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  28 -.49555019465013E+000 0.99751325559478E-007 -.11166323591975E-004 -.31925578486224E-006 -.15743985037125E-004 -.15321980270819E-005 0.12262814031594E-004 0.57139475102722E-005 -.19273292376102E-008 -.17430665185994E-009 -.11594543008424E-004 -.59477095984098E-005 0.21287255492276E-005 0.43778259039530E-006 -.10362579889463E-007 0.35310594560574E-005 0.31237272278677E-005 0.40863108745010E-006 -.23217224704478E-006 0.39902521591272E-005 -.19335854179677E-017 0.19307606164160E-017 0.14124007758916E-020 0.00000000000000E+000 0.78580234736179E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  29 -.49533160099181E+000 0.12131262994206E-006 -.11957655074400E-004 -.35028830674888E-006 -.16813600595977E-004 -.16640480417521E-005 0.13275164532450E-004 0.60373211837151E-005 -.21133461968244E-008 -.19047848588753E-009 -.12257058071869E-004 -.65132981732044E-005 0.22943320718120E-005 0.47570201795231E-006 -.11309723400544E-007 0.37693855148671E-005 0.32879187413893E-005 0.44433440920347E-006 -.24795911194080E-006 0.42819404263052E-005 -.22254730001458E-017 0.22224492129814E-017 0.15118935821983E-020 0.00000000000000E+000 0.84251479699958E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
