[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.22659191879081E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.34081758152042E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.73932632305714E+000 0.00000000000000E+000 0.30000000000000E+003 0.11576765022347E+001 -.15649619001421E+003 0.10000000000000E+001 0.21727074131482E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.37757096506038E-032 0.33900792012082E-036
   2 -.46586254746506E+000 0.10179894908434E-047 0.75199983110838E-043 0.14712623086806E-034 0.22659191879081E+000 0.35092727349399E-038 0.19903996879078E-038 0.15241883446469E-037 -.34295952283820E-056 -.16671128710011E-057 0.13368549303345E-037 0.34081758152042E-001 0.18775869490170E-055 0.41742540164787E-033 -.19235490374424E-056 0.77429639966580E-043 0.15419204183794E-054 0.34508096375950E-053 0.70585519421967E-053 0.19252939951123E-044 0.47354578474165E-033 0.10145115334666E-033 0.73932632305714E+000 0.31561063388676E-100 0.30000000000000E+003 0.10741438828488E+001 -.15649619001421E+003 0.10000000000000E+001 0.21727074131482E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.19767962540846E-029 0.33900792012082E-036
   3 -.43172515949420E+000 0.21203441183370E-047 0.75556671674094E-043 0.20203991157874E-033 0.22659191879081E+000 0.70358762969632E-037 0.53226559049724E-037 0.31671652012368E-037 -.16849214277003E-053 -.81664762387437E-055 0.16546899454756E-036 0.34081758152042E-001 0.47019306473181E-053 0.16459811824847E-032 -.94580351119297E-054 0.14841864566945E-041 0.27102093790162E-053 0.10678454772378E-051 0.20340016842249E-051 0.56857313988992E-043 -.33875830744297E-032 -.17106930105007E-032 0.73932632305714E+000 -.25466528378896E-092 0.30000000000000E+003 0.99061160958744E+000 -.15649619001421E+003 0.10000000000000E+001 0.21727074131482E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.15505961744364E-032 0.00000000000000E+000
   4 -.39758798986188E+000 0.33156625683784E-047 0.75558241987479E-043 0.40290066668243E-033 0.22659191879081E+000 0.19130121663032E-036 0.21108040775781E-036 0.49486618958182E-037 -.26621848604426E-052 -.12840771590758E-053 0.54324878752667E-036 0.34081758152042E-001 0.71078495978554E-052 0.16154642603968E-032 -.14964275210393E-052 0.68163550136012E-041 0.11347866430724E-052 0.71868760706042E-051 0.71944903982580E-051 0.26506712664346E-042 -.78843871566917E-032 -.13910284645803E-032 0.73932632305714E+000 0.22143218685365E-084 0.30000000000000E+003 0.90708044776953E+000 -.15649619001421E+003 0.10000000000000E+001 0.21727074131482E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.29081214892563E-032 0.33900792012082E-036
   5 -.36345151032208E+000 0.46210054301235E-047 0.75558248365561E-043 0.33500355252219E-033 0.22659191879081E+000 0.25453950161626E-036 0.45775252617757E-036 0.68941382697524E-037 -.10166748385630E-051 -.48613362114875E-053 0.10174074976939E-035 0.34081758152042E-001 0.26993490696186E-051 0.36472212291200E-033 -.57287990820400E-052 0.18022399577160E-040 0.26788899825734E-052 0.40491308416766E-050 -.31396178665390E-051 0.70263813118439E-042 -.10547795878753E-031 -.22809663634688E-031 0.73932632305714E+000 -.18969018095924E-076 0.30000000000000E+003 0.82355249191761E+000 -.15649619001421E+003 0.10000000000000E+001 0.21727074131482E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.62108208056052E-032 0.33900792012082E-036
   6 -.32931696106511E+000 0.60586095346680E-047 0.75558248389387E-043 0.32349866710280E-034 0.22659191879081E+000 0.17059237543154E-036 0.67231054019123E-036 0.90367361278155E-037 -.23422756104194E-051 -.11123471702131E-052 0.13078273658819E-035 0.34081758152042E-001 0.62055763450750E-051 0.52367945763850E-033 -.13223618590209E-051 0.34175306911677E-040 0.43811805323394E-052 0.24886104800179E-049 -.18416051572548E-049 0.13333748034667E-041 -.14749536100820E-031 -.24025611745824E-031 0.73932632305714E+000 0.14809112820690E-068 0.30000000000000E+003 0.74003219330257E+000 -.15649619001421E+003 0.10000000000000E+001 0.21727074131482E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.40333119394738E-032 0.33900792012082E-036
   7 -.29518674011782E+000 0.76581730527005E-047 0.75558248389453E-043 -.37138262672161E-033 0.22659191879081E+000 -.14745541231982E-037 0.72326456554476E-036 0.11420717473412E-036 -.44177997876921E-051 -.20897118885774E-052 0.12373528614440E-035 0.34081758152042E-001 0.11680065259544E-050 0.15067699437804E-032 -.24968817569528E-051 0.51522376337528E-040 0.54071762577364E-052 0.14977247413336E-048 -.14404839738342E-048 0.20107455841141E-041 -.17710695057131E-031 -.22806755933546E-031 0.73932632305714E+000 -.99525861730667E-061 0.30000000000000E+003 0.65652698720800E+000 -.15649619001421E+003 0.10000000000000E+001 0.21727074131482E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.36643231822407E-032 0.33900792012082E-036
   8 -.26106452663381E+000 0.94604603456167E-047 0.75558248389292E-043 -.90089515525188E-033 0.22659191879081E+000 -.24351919771795E-036 0.54643752856762E-036 0.14106837303841E-036 -.45580721238244E-051 -.21322547265951E-052 0.76339962219634E-036 0.34081758152042E-001 0.12074310076515E-050 0.26748276602635E-032 -.25840528258592E-051 0.63077961877329E-040 0.48924297697007E-052 0.78022871060665E-048 -.79466449923249E-048 0.24619466909054E-041 -.18557370878391E-031 -.21321401972321E-031 0.73932632305714E+000 0.54510373870083E-053 0.30000000000000E+003 0.57305551903312E+000 -.15649619001421E+003 0.10000000000000E+001 0.21727074131482E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.36649930116278E-032 0.00000000000000E+000
   9 -.22696188115468E+000 0.11521971064416E-046 0.75558248388941E-043 -.14311173155288E-032 0.22659191879081E+000 -.52654702266627E-036 0.10914436535030E-036 0.17179302412265E-036 -.46159331984202E-051 -.21586064507895E-052 -.20271388398382E-036 0.34081758152042E-001 0.12212881692026E-050 0.23069288736590E-032 -.26171184641541E-051 0.60685225297513E-040 0.26480629560793E-052 0.34262965833196E-047 -.35372418718805E-047 0.22015445790035E-041 -.17636309805037E-031 -.28599947584028E-031 0.73932632305714E+000 -.22390504773864E-045 0.30000000000000E+003 0.48971739012749E+000 -.15649619001421E+003 0.10000000000000E+001 0.21727074131482E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.36660719102590E-032 0.00000000000000E+000
  10 -.19294865165093E+000 0.14191829554815E-046 0.75558248388453E-043 -.20609385382489E-032 0.22659191879081E+000 -.88457506581765E-036 -.74347620854193E-036 0.20748639457459E-036 -.46483994929557E-051 -.21735208834077E-052 -.19260824314167E-035 0.34081758152042E-001 0.12199676724440E-050 0.16772408443801E-032 -.26356157571036E-051 0.34508230480713E-040 -.24233875574939E-052 0.12767263802238E-046 -.13224501290432E-046 0.26816574439870E-042 -.18074236701899E-031 -.32571786963281E-031 0.73932632305714E+000 0.53912829685103E-038 0.30000000000000E+003 0.40698164700799E+000 -.15649619001421E+003 0.10000000000000E+001 0.21727074131482E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.36660719102597E-032 0.00000000000000E+000
